序号,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,成交额(亿元)
1,sh000001,上证指数,4112.8996,35.623,0.874,4077.2765,4096.1723,4120.0875,4067.7471,589459644.0,1285847521737,12858.48 亿
2,sz399001,深证成指,15597.297,350.026,2.296,15247.271,15382.293,15624.971,15295.566,76306727815.0,1617472538532,16174.73 亿
3,Total,沪深总成交额,,,,,,,,,2903320060269,29033.20 亿
