序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz000725,京东方Ａ,5.16,10.021,291.63 亿
2,sz300476,胜宏科技,375.5,13.307,289.96 亿
3,sh603986,兆易创新,468.74,8.53,289.32 亿
4,sz300502,新易盛,606.77,7.203,238.57 亿
5,sz300308,中际旭创,1037.98,4.494,215.09 亿
6,sh688008,澜起科技,271.83,3.685,212.11 亿
7,sz300394,天孚通信,372.5,10.465,206.91 亿
8,sh600584,长电科技,72.88,9.037,198.21 亿
9,sz002384,东山精密,220.55,6.561,183.74 亿
10,sh688981,中芯国际,131.33,3.231,155.17 亿
11,sz300274,阳光电源,164.51,-0.526,148.37 亿
12,sz002281,光迅科技,215.87,-0.658,145.92 亿
13,sh688256,寒武纪,1286.0,-0.38,144.73 亿
14,sz000988,华工科技,156.31,1.526,141.69 亿
15,sh688012,中微公司,469.6,-1.303,138.01 亿
16,sz002475,立讯精密,72.4,6.675,133.02 亿
17,sz002371,北方华创,669.0,0.906,129.83 亿
18,sh601138,工业富联,67.16,2.534,129.64 亿
19,sz300136,信维通信,118.98,8.658,127.65 亿
20,sz002156,通富微电,63.44,2.72,125.28 亿
