序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sh603986,兆易创新,705.09,10.0,399.45亿
2,sz300308,中际旭创,1312.18,0.166,344.37亿
3,sz002475,立讯精密,75.05,8.204,296.59亿
4,sz000725,京东方Ａ,7.07,4.431,249.97亿
5,sh600584,长电科技,94.7,10.001,237.89亿
6,sz300502,新易盛,555.3,0.598,226.67亿
7,sh688981,中芯国际,151.53,6.937,211.61亿
8,sh688256,寒武纪,1453.0,2.831,201.85亿
9,sh600487,亨通光电,119.02,1.458,193.83亿
10,sh600522,中天科技,61.91,0.292,185.35亿
11,sz002008,大族激光,152.23,4.907,175.01亿
12,sh688008,澜起科技,266.49,3.291,166.16亿
13,sh601138,工业富联,76.78,3.617,162.16亿
14,sh688041,海光信息,337.1,6.341,149.62亿
15,sh688525,佰维存储,417.0,7.069,149.57亿
16,sz002384,东山精密,257.13,0.827,148.71亿
17,sz002156,通富微电,74.64,9.091,145.57亿
18,sz300059,东方财富,20.18,-3.445,144.99亿
19,sz001309,德明利,810.0,7.283,143.30亿
20,sz002428,云南锗业,123.09,10.0,141.95亿
