序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业
1,002808,恒久退,-10.0,0.18,661.01万,3363.50万,4838.40万,-1.3172837495803833,19.386451721191406,46221,145003,4803533,1,1,光学光电
2,000004,国华退,-9.67741870880127,0.28,122.34万,3536.09万,3706.65万,-1.4505680799484253,3.4236533641815186,1383961,093103,2985484,1,0,软件开发
3,000151,中成股份,-10.015060424804688,11.95,2.47亿,36.80亿,41.93亿,62.49043273925781,6.5210795402526855,1662245,141503,31199060,1,6,贸易Ⅱ
4,002535,林州重机,-10.12145709991455,2.22,6015.63万,16.57亿,17.80亿,84.47386932373047,3.5144622325897217,3503781,134615,18179777,1,23,专用设备
5,605566,福莱蒽特,-10.004108428955078,43.81,3.93亿,58.42亿,58.42亿,58.29800796508789,6.551822185516357,20098713,135618,82993663,1,3,化学制品
6,600977,中国电影,-10.0,13.59,13.51亿,253.73亿,253.73亿,-55.64189147949219,5.208611488342285,42664446,130033,222728560,1,8,影视院线
7,000029,深深房Ａ,-9.9827880859375,26.15,1.42亿,233.17亿,264.55亿,-1684.2041015625,0.6077092289924622,46575555,100603,345470265,1,2,房地产开
8,603201,常润股份,-9.976580619812012,19.22,7530.65万,36.20亿,36.51亿,27.677715301513672,2.0555362701416016,58320014,093515,41224978,1,3,汽车零部
9,600598,北大荒,-10.02405834197998,11.22,6.90亿,199.46亿,199.46亿,8.584036827087402,3.451993703842163,60353524,094322,6059209530,2,0,种植业
10,605303,园林股份,-9.992887496948242,25.31,2553.02万,40.81亿,40.81亿,-88.0901870727539,0.6255992650985718,61138836,092504,490244576,2,0,基础建设
11,603159,上海亚虹,-10.0,21.06,551.14万,29.48亿,29.48亿,-163.39517211914062,0.18692857027053833,82600268,092503,309883158,2,0,专用设备
12,603318,水发燃气,-10.008554458618164,10.52,3.87亿,48.29亿,58.35亿,276.889404296875,7.932260036468506,136949212,094052,148357794,1,1,燃气Ⅱ
