序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300502,新易盛,389.33,-5.784,183.32 亿
2,sz300308,中际旭创,543.0,-3.329,168.04 亿
3,sz002463,沪电股份,85.59,1.954,152.67 亿
4,sz300394,天孚通信,280.0,-10.017,150.67 亿
5,sz300750,宁德时代,405.0,-0.833,147.87 亿
6,sz300476,胜宏科技,280.0,-3.131,146.71 亿
7,sz000988,华工科技,111.12,-5.196,129.41 亿
8,sz300274,阳光电源,166.48,-3.769,124.46 亿
9,sh603986,兆易创新,296.0,-3.319,118.25 亿
10,sz002384,东山精密,109.71,-7.807,108.60 亿
11,sz002202,金风科技,28.55,-7.933,95.18 亿
12,sz002475,立讯精密,49.83,1.157,94.22 亿
13,sz300059,东方财富,21.56,1.65,91.35 亿
14,sh688525,佰维存储,235.78,-0.808,89.35 亿
15,sz002594,比亚迪,102.87,-1.673,87.93 亿
16,sh600989,宝丰能源,32.96,-3.428,85.81 亿
17,sh601899,紫金矿业,34.9,0.432,79.29 亿
18,sh600519,贵州茅台,1485.0,1.7,73.47 亿
19,sh600487,亨通光电,43.22,-8.49,71.54 亿
20,sh601868,中国能建,3.31,-3.499,70.73 亿
