序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,864.58,-6.011,457.64亿
2,sz300502,新易盛,399.6,-5.072,266.91亿
3,sh688825,长鑫科技,51.3,-2.248,256.74亿
4,sh603986,兆易创新,403.03,-3.362,255.98亿
5,sh688256,寒武纪,1124.0,-6.328,237.52亿
6,sh603259,药明康德,161.34,4.211,204.25亿
7,sz002384,东山精密,185.94,-4.778,190.40亿
8,sz300476,胜宏科技,286.0,2.07,169.85亿
9,sh600487,亨通光电,59.62,0.168,153.77亿
10,sz002281,光迅科技,178.3,-7.636,141.96亿
11,sz002428,云南锗业,102.58,2.498,137.91亿
12,sh600176,中国巨石,43.28,-2.479,131.18亿
13,sh600183,生益科技,138.57,-1.007,130.38亿
14,sz000636,风华高科,61.7,5.85,125.73亿
15,sz300285,国瓷材料,76.11,7.379,124.19亿
16,sz301308,江波龙,412.5,6.699,118.51亿
17,sh601138,工业富联,69.18,1.467,113.94亿
18,sh600584,长电科技,78.52,0.99,111.28亿
19,sz000657,中钨高新,72.8,8.641,110.28亿
20,sh688012,中微公司,389.99,6.076,109.26亿
