序号,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,成交额(亿元)
1,sh000001,上证指数,3993.2258,-16.805,-0.419,4010.0307,3985.1244,4006.3127,3963.4417,598694739.0,1227070067091,12270.70 亿
2,sz399001,深证成指,14954.101,-314.614,-2.061,15268.715,15062.508,15149.369,14817.111,71046232927.0,1392172809792,13921.73 亿
3,Total,沪深总成交额,,,,,,,,,2619242876883,26192.43 亿
