序号,名称,代码,连板数,涨停统计,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,所属行业
1,天娱数科,002354,4,4天4板,10.049627304077148,8.87,29.93 亿,144.20 亿,146.76 亿,21.15118408203125,171274378,093333,135457,5,广告营销
2,金安国纪,002636,3,3天3板,10.00284194946289,77.42,29.53 亿,560.76 亿,563.62 亿,5.304462432861328,160106727,093118,135118,8,元件
3,中化国际,600500,2,2天2板,10.084033966064453,6.55,2.06 亿,235.03 亿,235.03 亿,0.8761470317840576,212263623,092501,092501,0,化学制品
4,京基智农,000048,2,2天2板,9.993830680847168,17.83,5.25 亿,94.37 亿,94.54 亿,5.597949028015137,43731106,093030,101339,2,养殖业
5,和远气体,002971,2,5天3板,10.002294540405273,47.95,3.56 亿,74.99 亿,101.54 亿,4.7533040046691895,288734185,093000,093000,0,化学制品
6,圣泉集团,605589,2,2天2板,9.992679595947266,60.1,10.73 亿,508.40 亿,508.68 亿,2.111520290374756,360230324,092502,092502,0,塑料
7,宿迁联盛,603065,2,6天3板,10.0,11.44,4203.37 万,47.93 亿,47.93 亿,0.8769831657409668,252532566,092503,092503,0,化学制品
8,山东玻纤,605006,2,2天2板,10.02610969543457,21.07,19.45 亿,132.40 亿,132.40 亿,15.006477355957031,65046903,103528,131704,1,玻璃玻纤
9,华亚智能,003043,2,5天3板,10.001364707946777,80.62,10.84 亿,67.59 亿,107.90 亿,16.621379852294922,66236182,141257,141257,0,半导体
10,双星新材,002585,2,5天3板,10.0,13.42,22.32 亿,119.00 亿,153.17 亿,18.862327575683594,60168570,093127,135157,7,塑料
11,深深房Ａ,000029,2,2天2板,9.983699798583984,26.99,1.31 亿,240.66 亿,273.05 亿,0.5516563653945923,60035476,093112,093112,0,房地产开
12,中晶科技,003026,2,2天2板,10.015220642089844,36.14,4.29 亿,52.24 亿,67.86 亿,8.340826988220215,145750596,093400,093400,0,半导体
13,法狮龙,605318,2,2天2板,10.003775596618652,116.56,4.80 亿,146.55 亿,146.55 亿,3.326439380645752,51064936,093640,094322,6,装修建材
14,宏昌电子,603002,2,2天2板,10.006027221679688,18.25,36.12 亿,206.97 亿,206.97 亿,17.59939193725586,15812712,093932,145314,32,电子化学
15,康达新材,002669,2,2天2板,10.00575065612793,19.13,14.23 亿,57.91 亿,58.04 亿,25.618865966796875,95648546,105806,105806,0,化学制品
16,XD恒兴新,603276,1,首板,10.012754440307617,17.25,2.19 亿,13.05 亿,35.82 亿,17.050018310546875,4643010,093036,112618,7,化学制品
17,南兴股份,002757,1,首板,9.985734939575195,23.13,2.16 亿,65.24 亿,68.34 亿,3.3060693740844727,65501847,092500,092500,0,专用设备
18,五矿发展,600058,1,首板,10.0,10.34,8940.40 万,110.84 亿,110.84 亿,0.8189916014671326,105691861,093321,093421,1,贸易Ⅱ
19,康强电子,002119,1,首板,10.007758140563965,28.36,14.42 亿,106.43 亿,106.43 亿,13.715012550354004,103879248,093415,131512,2,半导体
20,红 宝 丽,002165,1,首板,9.939759254455566,7.3,3.10 亿,53.11 亿,53.67 亿,5.933063983917236,158646520,093509,093509,0,化学制品
21,名雕股份,002830,1,首板,9.986226081848145,15.97,6910.09 万,14.83 亿,29.69 亿,4.701140403747559,20845321,093121,093121,0,装修装饰
22,城市传媒,600229,1,首板,10.05385971069336,6.13,1.14 亿,40.50 亿,40.50 亿,2.8191561698913574,24749862,093102,093629,3,出版
23,中贝通信,603220,1,首板,10.0,24.53,5.82 亿,106.52 亿,131.57 亿,5.517960071563721,156118216,093107,093107,0,通信服务
24,元祖股份,603886,1,首板,9.964093208312988,12.25,9892.40 万,29.40 亿,29.40 亿,3.427520751953125,31198300,093601,093601,0,休闲食品
25,汇顶科技,603160,1,首板,9.994498252868652,59.98,5.76 亿,279.44 亿,279.44 亿,2.098356246948242,76576466,093643,094113,3,半导体
26,金 螳 螂,002081,1,首板,10.0,5.94,8.51 亿,157.07 亿,157.73 亿,5.5618577003479,138452549,093718,093718,0,装修装饰
27,昊华科技,600378,1,首板,10.0,58.08,35.50 亿,622.95 亿,749.23 亿,5.79596471786499,268492224,093714,095150,4,化学制品
28,湖南天雁,600698,1,首板,9.935897827148438,6.86,1.05 亿,56.97 亿,73.31 亿,1.8577244281768799,46481302,093721,093721,0,汽车零部
29,上工申贝,600843,1,首板,10.026041030883789,8.45,1.30 亿,39.65 亿,60.26 亿,3.3616220951080322,95889155,093931,093931,0,专用设备
30,中视传媒,600088,1,首板,10.021629333496094,15.26,2.79 亿,60.69 亿,60.69 亿,4.6921844482421875,30127604,094146,100258,1,影视院线
31,气派科技,688216,1,首板,20.012527465820312,38.32,3.89 亿,40.79 亿,43.98 亿,9.85732650756836,13666023,094156,105138,4,半导体
32,新亚强,603155,1,首板,10.019268035888672,22.84,2.50 亿,72.13 亿,72.13 亿,3.552483081817627,67339172,094513,094513,0,化学制品
33,三孚股份,603938,1,6天3板,9.994498252868652,59.98,20.29 亿,229.50 亿,229.50 亿,9.09641170501709,77693473,094627,135151,3,化学原料
34,拓维信息,002261,1,首板,10.0,30.91,18.50 亿,354.26 亿,389.46 亿,5.381479740142822,287461609,095003,095003,0,软件开发
35,惠泉啤酒,600573,1,首板,9.974640846252441,13.01,2.92 亿,32.52 亿,32.52 亿,9.208394050598145,78814775,095105,095105,0,非白酒
36,美利云,000815,1,首板,9.97392463684082,16.87,9.94 亿,117.29 亿,117.29 亿,8.727900505065918,108515920,095221,095221,0,IT服务Ⅱ
37,恒林股份,603661,1,首板,9.997007369995117,36.75,2.35 亿,51.11 亿,51.11 亿,4.649974822998047,47446455,093524,135124,1,家居用品
38,兆新股份,002256,1,首板,10.075567245483398,4.37,2.52 亿,88.03 亿,89.18 亿,2.90793514251709,93486833,093530,093530,0,电力
39,南威软件,603636,1,首板,10.022778511047363,9.66,2.15 亿,56.06 亿,56.06 亿,3.866542100906372,93956260,093038,093605,1,IT服务Ⅱ
40,滨化股份,601678,1,首板,9.922179222106934,5.65,6.64 亿,115.45 亿,116.21 亿,5.914841175079346,94338688,100311,102453,2,化学原料
41,合肥城建,002208,1,首板,9.986859321594238,16.74,7.19 亿,134.43 亿,134.47 亿,5.588949203491211,80636580,100127,100127,0,房地产开
42,百合花,603823,1,8天4板,10.005669593811035,38.81,8.13 亿,161.59 亿,161.59 亿,5.18168830871582,31202580,095624,104821,3,化学制品
43,中科金财,002657,1,首板,10.0,20.68,6.14 亿,69.51 亿,70.32 亿,9.025583267211914,54191940,100409,100409,0,IT服务Ⅱ
44,中科三环,000970,1,3天2板,10.0,14.52,23.87 亿,176.52 亿,176.52 亿,14.134057998657227,136201317,101945,101945,0,金属新材
45,金房能源,001210,1,首板,9.98271369934082,25.45,3.65 亿,33.96 亿,55.87 亿,11.276047706604004,41246178,102030,110121,2,电力
