序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sh603986,兆易创新,586.04,10.001,315.99亿
2,sz300308,中际旭创,1276.11,2.245,272.72亿
3,sz002384,东山精密,256.92,3.156,251.96亿
4,sh600487,亨通光电,111.0,3.256,232.70亿
5,sz300502,新易盛,557.88,1.617,213.50亿
6,sh600183,生益科技,180.15,0.418,212.44亿
7,sh688008,澜起科技,262.5,7.507,187.71亿
8,sh600584,长电科技,81.76,6.278,180.16亿
9,sh688525,佰维存储,370.0,8.67,176.82亿
10,sh688256,寒武纪,1320.0,0.995,172.55亿
11,sh600522,中天科技,54.91,1.404,169.44亿
12,sz300136,信维通信,105.56,5.391,160.16亿
13,sz300476,胜宏科技,361.7,1.75,160.01亿
14,sz300394,天孚通信,329.33,1.423,151.14亿
15,sz002463,沪电股份,146.55,4.202,144.61亿
16,sz301308,江波龙,571.68,5.822,143.91亿
17,sz002008,大族激光,135.84,-0.571,142.60亿
18,sh600549,厦门钨业,80.84,3.099,133.07亿
19,sz000988,华工科技,170.51,3.97,129.75亿
20,sh688041,海光信息,308.22,4.726,129.23亿
