序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sh688256,寒武纪,1699.96,20.0,284.66 亿
11,sz002281,光迅科技,144.28,8.587,113.27 亿
12,sh688521,芯原股份,280.88,19.998,111.24 亿
