序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sh688256,寒武纪,1699.96,20.0,284.66 亿
2,sh601138,工业富联,62.88,-5.101,186.34 亿
3,sh603986,兆易创新,312.99,1.327,185.17 亿
4,sz300308,中际旭创,857.5,1.479,182.56 亿
5,sz300502,新易盛,525.79,-2.088,159.97 亿
6,sz002384,东山精密,186.73,1.346,153.13 亿
7,sh688041,海光信息,296.25,6.27,143.91 亿
8,sh600111,北方稀土,53.04,4.102,143.02 亿
9,sz300750,宁德时代,436.0,-2.022,131.27 亿
10,sh688981,中芯国际,118.73,5.566,119.12 亿
11,sz002281,光迅科技,144.28,8.587,113.27 亿
12,sh688521,芯原股份,280.88,19.998,111.24 亿
13,sz002709,天赐材料,60.51,2.006,109.00 亿
14,sz000988,华工科技,119.53,0.412,108.69 亿
15,sz300136,信维通信,91.3,6.771,108.32 亿
16,sh600150,中国船舶,41.76,1.458,107.19 亿
17,sz300476,胜宏科技,328.49,-1.611,106.73 亿
18,sh600487,亨通光电,65.7,-2.493,105.77 亿
19,sz002475,立讯精密,67.0,-2.389,104.67 亿
20,sz002466,天齐锂业,80.03,5.972,103.15 亿
