序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业
1,002927,泰永长征,-9.987410545349121,21.45,4.90 亿,47.34 亿,47.87 亿,111.71935272216797,10.114508628845215,583547,145157,128222177,1,10,电网设备
2,605069,正和生态,-10.0,13.68,1.38 亿,28.96 亿,28.96 亿,-56.111572265625,4.598867416381836,2277993,131919,23085000,1,8,环境治理
3,603778,国晟科技,-10.0,19.35,12.91 亿,124.39 亿,127.72 亿,-91.6589584350586,10.251021385192871,2298780,145502,5417088614,2,11,光伏设备
4,003007,直真科技,-10.0,45.99,3.37 亿,33.38 亿,54.99 亿,-58.282108306884766,9.888076782226562,6507585,144718,34336134,1,7,软件开发
5,603115,海星股份,-9.998249053955078,102.8,10.78 亿,248.66 亿,248.66 亿,156.76939392089844,4.279052257537842,6815640,145146,283541211,1,11,元件
6,603616,韩建河山,-10.0,5.94,2.08 亿,22.83 亿,23.00 亿,-58.61924743652344,8.945226669311523,7378074,134704,28872558,1,0,水泥
7,000518,四环生物,-9.911893844604492,4.09,10.32 亿,42.11 亿,42.11 亿,-93.04779052734375,23.67148208618164,20992796,145345,71011136,1,0,生物制品
8,605287,德才股份,-10.0,48.6,2.92 亿,68.04 亿,68.04 亿,50.32400894165039,4.237143039703369,26398548,100042,104070096,1,4,装修装饰
9,603067,振华股份,-10.0,41.4,17.66 亿,312.79 亿,312.79 亿,64.29740905761719,5.481764793395996,27391606,135113,175637637,1,3,化学原料
10,600156,华升股份,-9.975469589233398,11.01,5.69 亿,44.27 亿,44.27 亿,-191.14637756347656,12.658366203308105,35023911,135501,165300954,2,11,纺织制造
11,605303,园林股份,-9.994189262390137,30.98,2.15 亿,49.95 亿,49.95 亿,-107.8243408203125,4.239214897155762,49106398,095735,93553404,1,10,基础建设
12,000026,飞亚达,-9.985206604003906,24.34,7.13 亿,88.73 亿,98.76 亿,37.94052505493164,7.908212184906006,62019561,130230,103335470,1,3,饰品
13,600589,大位科技,-9.984519958496094,11.63,16.14 亿,171.95 亿,172.67 亿,-135.47686767578125,9.231690406799316,131183038,102338,561117830,1,16,IT服务Ⅱ
14,000417,合百集团,-9.951690673828125,9.32,11.09 亿,72.61 亿,72.69 亿,28.266477584838867,15.013537406921387,170844248,104409,144766311,1,1,一般零售
15,603316,诚邦股份,-10.015527725219727,23.18,6.14 亿,61.26 亿,61.26 亿,65.18682861328125,9.673072814941406,242460482,094431,191086648,1,2,基础建设
16,002297,博云新材,-9.986320495605469,26.32,8.45 亿,150.84 亿,150.84 亿,28.502103805541992,5.599551677703857,1225692237,093021,5965277712,1,1,航空装备
