序号,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,成交额(亿元)
1,sh000001,上证指数,4145.373,-7.196,-0.173,4152.5686,4137.3196,4150.2888,4104.4593,654777756.0,1461685377748,14616.85 亿
2,sz399001,深证成指,15876.163,19.553,0.123,15856.61,15786.817,15894.546,15662.16,82327353235.0,1782006716931,17820.07 亿
3,Total,沪深总成交额,,,,,,,,,3243692094679,32436.92 亿
