序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业
1,001205,盛航股份,-10.011122703552246,16.18,3.02 亿,25.81 亿,30.42 亿,31.140380859375,11.592448234558105,931725,145415,36149631,1,1,航运港口
2,600792,云煤能源,-9.963099479675293,4.88,3.34 亿,54.16 亿,54.16 亿,-22.346637725830078,6.146188735961914,4658989,144350,209781438,1,19,焦炭Ⅱ
3,601008,连云港,-10.064934730529785,5.54,4.96 亿,68.73 亿,68.73 亿,48.542762756347656,7.186288833618164,5589306,144029,263209252,1,12,航运港口
4,603616,韩建河山,-10.03671932220459,7.35,3.14 亿,28.25 亿,28.76 亿,220.99163818359375,11.096845626831055,6809040,145158,161705880,1,30,水泥
5,002911,佛燃能源,-10.016881942749023,15.99,3.28 亿,202.60 亿,207.61 亿,20.747167587280273,1.6083592176437378,12083643,130154,228077309,1,18,燃气Ⅱ
6,000985,大庆华科,-10.0,22.23,1.38 亿,28.82 亿,28.82 亿,163.42977905273438,4.767605781555176,15034149,105709,108655860,1,13,炼化及贸
7,001225,和泰机电,-10.0,63.27,6847.29 万,13.31 亿,41.67 亿,99.24549102783203,5.073580265045166,17380269,093824,48629322,2,0,专用设备
8,000520,凤凰航运,-9.9609375,4.61,2.93 亿,46.66 亿,46.66 亿,-62.91727828979492,6.232015609741211,19664185,105445,196944948,1,8,航运港口
9,002040,南 京 港,-10.022778511047363,11.85,7.46 亿,57.60 亿,57.82 亿,31.849746704101562,12.873875617980957,23202300,144042,935236672,1,7,航运港口
10,605287,德才股份,-9.990128517150879,45.59,3.93 亿,63.83 亿,63.83 亿,97.55689239501953,5.986905574798584,60913118,102045,40629808,1,0,装修装饰
11,001209,洪兴股份,-9.984813690185547,23.71,2.30 亿,22.78 亿,31.18 亿,135.8200225830078,10.0997314453125,78033427,095442,583608964,3,5,服装家纺
