序号,股票代码,股票名称,收盘价,对应值,成交量,成交额,指标
1,000554,泰山石油,11.62,46.74,16949.5793,193299.4383,换手率达20%的证券
2,002207,准油股份,15.03,46.35,12088.2918,169614.428,换手率达20%的证券
3,002272,川润股份,21.07,34.62,14502.9145,299949.6651,换手率达20%的证券
4,002828,贝肯能源,16.36,45.3,9105.4436,143672.2055,换手率达20%的证券
5,002980,华盛昌,34.02,30.57,3096.7258,105152.9791,换手率达20%的证券
6,600410,华胜天成,29.06,35.26,38660.7719,1130373.74,换手率达20%的证券
7,600722,金牛化工,11.98,29.02,19740.8729,236346.07,换手率达20%的证券
8,601083,锦江航运,12.56,29.46,5718.0111,72050.9,换手率达20%的证券
9,603318,水发燃气,10.67,36.57,16787.4358,175874.5,换手率达20%的证券
10,603619,中曼石油,47.05,25.67,11867.9014,537662.8,换手率达20%的证券
11,920046,亿能电力,33.22,37.43,2093.5878,67566.32,换手率达20%的证券
12,920088,科力股份,88.43,51.38,1632.8465,139551.05,换手率达20%的证券
13,920158,长江能科,20.3,43.15,1645.8702,33330.39,换手率达20%的证券
14,920159,农大科技,45.06,38.09,548.4242,25489.17,换手率达20%的证券
15,920299,灿能电力,31.56,31.04,1378.2426,44820.35,换手率达20%的证券
16,000890,法尔胜,8.87,20.21,38119.7391,317775.8047,连续三个交易日内，涨幅偏离值累计达20%的证券
17,000912,泸天化,5.68,21.28,39158.9226,212963.6153,连续三个交易日内，涨幅偏离值累计达20%的证券
18,002389,航天彩虹,28.77,23.64,42763.2013,1153097.8843,连续三个交易日内，涨幅偏离值累计达20%的证券
19,002667,威领股份,24.65,20.52,9599.9382,225656.0878,连续三个交易日内，涨幅偏离值累计达20%的证券
20,600108,亚盛集团,5.29,23.45,83257.9755,404718.59,连续三个交易日内，涨幅偏离值累计达20%的证券
21,600236,桂冠电力,10.85,23.98,10267.2217,103018.74,连续三个交易日内，涨幅偏离值累计达20%的证券
22,605366,宏柏新材,10.4,20.65,21375.182,211089.19,连续三个交易日内，涨幅偏离值累计达20%的证券
23,001205,盛航股份,16.18,-9.47,1849.0225,30231.3691,跌幅偏离值达7%的证券
24,002040,南京港,11.85,-9.47,6257.675,74553.6377,跌幅偏离值达7%的证券
25,002221,东华能源,9.01,-9.47,8155.5181,74429.0768,跌幅偏离值达7%的证券
26,002629,仁智股份,7.3,-9.47,7075.6081,51924.9746,跌幅偏离值达7%的证券
27,002911,佛燃能源,15.99,-9.47,2037.8523,32808.8146,跌幅偏离值达7%的证券
28,600333,长春燃气,5.86,-9.01,7429.9368,44155.84,跌幅偏离值达7%的证券
29,600428,中远海特,8.37,-9.02,14679.172,123591.98,跌幅偏离值达7%的证券
30,601008,连云港,5.54,-9.09,8915.5829,49636.75,跌幅偏离值达7%的证券
31,603616,韩建河山,7.35,-9.06,4264.44,31447.81,跌幅偏离值达7%的证券
32,605287,德才股份,45.59,-9.01,838.1668,39314.13,跌幅偏离值达7%的证券
33,001209,洪兴股份,23.71,-22.68,6317.0646,180422.779,连续三个交易日内，跌幅偏离值累计达20%的证券
34,001309,德明利,251.57,10.53,1956.543,487828.5276,涨幅偏离值达7%的证券
35,002498,汉缆股份,8.13,10.53,23233.7573,185791.7686,涨幅偏离值达7%的证券
36,600821,金开新能,7.87,11.05,29011.8176,223780.18,涨幅偏离值达7%的证券
37,600871,石化油服,4.27,11.03,125062.2176,511623.75,涨幅偏离值达7%的证券
38,603045,福达合金,32.41,10.99,987.4075,30580.28,涨幅偏离值达7%的证券
39,605268,王力安防,11.52,11.01,918.0416,10397.7,涨幅偏离值达7%的证券
40,002350,北京科锐,13.32,18.77,11548.3427,153877.5897,振幅值达15%的证券
41,002378,章源钨业,44.98,18.84,15688.2213,693662.4015,振幅值达15%的证券
42,002491,通鼎互联,12.65,19.8,31698.0903,379570.1372,振幅值达15%的证券
43,600339,中油工程,5.24,19.91,51861.4467,263692.63,振幅值达15%的证券
44,600714,金瑞矿业,22.81,21.82,7128.4037,157831.94,振幅值达15%的证券
45,601808,中海油服,20.68,18.88,16993.7792,346772.01,振幅值达15%的证券
46,603618,杭电股份,20.59,21.26,9822.3956,189679.68,振幅值达15%的证券
47,300157,新锦动力,9.19,36.57,25883.6219,233356.0593,
48,300164,通源石油,24.56,53.96,31472.1945,682697.5939,
49,300189,神农种业,9.34,48.31,42811.1468,389253.9029,
50,301388,欣灵电气,38.0,33.86,970.6365,36227.5098,
51,301658,首航新能,37.5,53.5,2206.0738,83914.2173,
52,301302,华如科技,37.3,30.06,4444.7457,150281.9744,
53,920014,特瑞斯,15.35,37.8,1607.1908,25432.75,
54,920263,中航泰达,13.08,38.3,412.5138,5430.03,
55,920571,国航远洋,13.5,38.7,8500.0758,115818.79,
56,300265,通光线缆,17.88,20.0,8051.8281,137138.1566,
57,300617,安靠智电,64.81,20.0,2789.5976,175417.7605,
58,300880,迦南智能,23.22,20.0,2765.5225,60836.2566,
59,301129,瑞纳智能,29.23,20.0,678.5201,18681.4363,
60,301373,凌玮科技,49.61,20.0,1121.7089,52364.2724,
61,688176,亚虹医药,13.67,20.02,4167.6819,54239.52,
62,688297,中无人机,64.31,16.5,5714.0944,345986.12,
63,688525,佰维存储,175.99,20.0,3733.0464,653487.15,
64,688551,科威尔,49.0,19.22,608.4927,27009.87,
65,301213,观想科技,93.6,30.12,2860.8468,261402.6056,
66,920351,华光源海,25.16,-21.23,796.1034,20544.33,
