序号,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,成交额(亿元)
1,sh000001,上证指数,4082.474,-40.202,-0.975,4122.676,4087.632,4106.0397,4055.4125,765169531.0,1113081986078,11130.82 亿
2,sz399001,深证成指,13917.752,-104.64,-0.746,14022.392,13854.374,14112.021,13854.374,74046401893.0,1252671984627,12526.72 亿
3,Total,沪深总成交额,,,,,,,,,2365753970705,23657.54 亿
