序号,代码,名称,最新价,涨跌幅,成交额(亿元),板块代码,板块名称,主营业务,板块次数
1,sz300308,中际旭创,539.0,-4.399,167.78 亿,,,,
2,sh601857,中国石油,13.24,0.684,140.21 亿,,,,
3,sh600089,特变电工,30.87,4.009,126.53 亿,,,,
4,sz300502,新易盛,369.37,-3.357,121.84 亿,,,,
5,sh601899,紫金矿业,37.96,-2.316,119.03 亿,,,,
6,sz000988,华工科技,101.55,5.969,117.75 亿,,,,
7,sh600410,华胜天成,29.06,4.345,113.04 亿,,,,
8,sh600938,中国海油,42.85,-1.29,111.07 亿,,,,
9,sz300394,天孚通信,335.56,0.299,96.37 亿,,,,
10,sh600028,中国石化,7.4,-5.371,92.76 亿,,,,
11,sh603986,兆易创新,279.07,2.265,92.50 亿,,,,
12,sh600549,厦门钨业,78.76,4.207,91.64 亿,,,,
13,sh600498,烽火通信,58.44,4.115,90.81 亿,,,,
14,sz300476,胜宏科技,286.62,0.923,90.63 亿,,,,
15,sz002261,拓维信息,37.2,-0.826,85.97 亿,,,,
16,sz300750,宁德时代,338.9,-1.503,84.69 亿,,,,
17,sh600111,北方稀土,56.0,0.683,80.16 亿,,,,
18,sz301308,江波龙,301.99,14.869,79.51 亿,,,,
19,sz002506,协鑫集成,5.15,-0.194,72.77 亿,,,,
20,sz300442,润泽科技,94.6,-1.959,70.32 亿,,,,
