序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300502,新易盛,413.23,4.873,192.06 亿
2,sz300308,中际旭创,561.7,3.631,152.11 亿
3,sz300750,宁德时代,408.4,2.872,151.95 亿
4,sh601899,紫金矿业,34.75,-2.852,144.42 亿
5,sz002202,金风科技,31.01,-1.336,144.02 亿
6,sz000988,华工科技,117.21,-1.247,140.89 亿
7,sh603986,兆易创新,306.16,9.999,136.01 亿
8,sh601669,中国电建,6.47,-10.014,127.79 亿
9,sz300274,阳光电源,173.0,-1.363,126.02 亿
10,sh688525,佰维存储,237.7,13.352,118.94 亿
11,sz002594,比亚迪,104.62,4.966,111.84 亿
12,sh601868,中国能建,3.43,-8.289,109.58 亿
13,sz300394,天孚通信,311.17,-4.255,108.68 亿
14,sz300476,胜宏科技,289.05,3.889,104.78 亿
15,sz002463,沪电股份,83.95,3.412,104.04 亿
16,sz002384,东山精密,119.0,7.275,101.16 亿
17,sz001309,德明利,352.06,10.002,88.49 亿
18,sh600519,贵州茅台,1460.18,3.292,87.12 亿
19,sh600989,宝丰能源,34.13,-1.643,84.08 亿
20,sh603993,洛阳钼业,19.36,-2.024,74.56 亿
