序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000617,中油资本,10.022522926330566,9.77,41.35 亿,1235.13 亿,1235.13 亿,3.3493659496307373,226347686,092500,110933,5,1/1,1,多元金融
2,002086,东方海洋,10.132158279418945,2.5,2.12 亿,39.53 亿,48.97 亿,5.373140335083008,127430167,092500,092500,0,1/1,1,医疗器械
3,600396,华电辽能,10.051546096801758,4.27,3.37 亿,62.88 亿,62.88 亿,5.35405158996582,194499422,092500,092500,0,1/1,1,电力
4,600370,三房巷,9.89011001586914,3.0,5.00 亿,116.90 亿,116.90 亿,4.28670597076416,54804750,093002,093008,1,3/3,3,化学纤维
5,600227,赤天化,10.068650245666504,4.81,20.90 亿,61.45 亿,81.23 亿,34.47534942626953,28707494,093130,144354,5,7/4,2,农化制品
6,600302,标准股份,10.038986206054688,11.29,1.37 亿,39.06 亿,39.06 亿,3.5572402477264404,51887711,093130,093206,1,1/1,1,专用设备
7,002310,东方新能,9.926470756530762,2.99,15.73 亿,125.55 亿,179.38 亿,12.733926773071289,14955367,093236,141151,8,1/1,1,电力
8,002427,尤夫股份,10.01430606842041,7.69,2.84 亿,75.72 亿,75.78 亿,3.8151803016662598,100360267,093409,093409,0,1/1,1,化学纤维
9,600683,京投发展,10.045661926269531,9.64,2.31 亿,71.41 亿,71.41 亿,3.2924816608428955,124793521,093454,093454,0,2/2,2,房地产开
10,002278,神开股份,10.0,13.75,5.18 亿,45.95 亿,53.63 亿,11.415918350219727,112314152,093509,093509,0,1/1,1,专用设备
11,002724,海洋王,10.053619384765625,8.21,2.49 亿,46.62 亿,63.34 亿,5.43251895904541,122649469,093612,093612,0,1/1,1,照明设备
12,600313,农发种业,10.060606002807617,9.08,16.52 亿,98.26 亿,105.45 亿,17.012407302856445,75630952,093913,104925,9,1/1,1,种植业
13,001278,一彬科技,9.991312026977539,25.32,1.24 亿,21.60 亿,31.33 亿,5.878108501434326,133995136,094424,094424,0,1/1,1,汽车零部
14,603738,泰晶科技,9.995654106140137,25.31,11.40 亿,97.67 亿,97.67 亿,11.971078872680664,90398208,094809,131845,1,1/1,1,元件
15,603929,亚翔集成,9.997870445251465,154.91,14.10 亿,330.52 亿,330.52 亿,4.3436102867126465,181178553,094908,101502,1,2/2,2,专业工程
16,000020,深华发Ａ,10.006901741027832,15.94,1.13 亿,28.88 亿,45.14 亿,3.964749574661255,62424228,094939,094939,0,1/1,1,光学光电
17,600545,卓郎智能,9.921670913696289,4.21,7.14 亿,75.27 亿,75.27 亿,9.821280479431152,58643952,095636,103327,2,1/1,1,专用设备
18,603421,鼎信通讯,10.021322250366211,10.32,8.59 亿,67.31 亿,67.31 亿,13.144960403442383,31639943,095820,110150,1,5/3,1,通信设备
19,000639,西王食品,10.175437927246094,3.14,3.41 亿,33.89 亿,33.89 亿,10.323563575744629,88731790,095930,095930,0,1/1,1,食品加工
20,002467,二六三,9.941520690917969,7.52,15.93 亿,102.79 亿,103.43 亿,15.848691940307617,131113275,100030,100909,1,1/1,1,通信服务
21,000533,顺钠股份,10.023585319519043,18.66,35.86 亿,127.80 亿,128.91 亿,29.589651107788086,115752607,100118,101324,4,9/5,1,电网设备
22,605299,舒华体育,9.968354225158691,13.9,2.59 亿,56.88 亿,56.88 亿,4.680033206939697,111041470,100157,100157,0,1/1,1,文娱用品
23,600152,维科技术,10.030706405639648,10.75,6.47 亿,56.88 亿,56.88 亿,11.884139060974121,81377199,100459,100459,0,1/1,1,电池
24,002990,盛视科技,9.992401123046875,28.95,2.00 亿,38.82 亿,75.81 亿,5.278224945068359,110032581,100924,100924,0,1/1,1,计算机设
25,300042,朗科科技,20.0,45.6,15.41 亿,91.37 亿,91.38 亿,18.023298263549805,43231353,101657,102924,2,1/1,1,计算机设
26,603778,国晟科技,10.00487995147705,22.54,21.13 亿,144.90 亿,148.01 亿,15.091817855834961,102674208,102018,102618,1,4/2,1,光伏设备
27,600751,海航科技,9.923664093017578,4.32,5.53 亿,111.16 亿,125.25 亿,5.121127605438232,54692496,103227,103227,0,1/1,1,航运港口
28,002426,胜利精密,10.098522186279297,4.47,21.94 亿,152.10 亿,152.10 亿,14.832886695861816,159464568,105427,105427,0,1/1,1,消费电子
29,002636,金安国纪,10.0172119140625,31.96,15.07 亿,231.49 亿,232.67 亿,6.8740034103393555,149885368,105606,105606,0,1/1,1,元件
30,000620,盈新发展,9.966776847839355,3.31,10.52 亿,154.63 亿,194.36 亿,7.0580058097839355,153539626,112024,112024,0,1/1,1,房地产开
31,600667,太极实业,9.9609375,11.26,23.93 亿,235.51 亿,235.51 亿,10.568775177001953,184813679,112407,112407,0,1/1,1,工程咨询
32,605366,宏柏新材,9.989806175231934,10.79,5.60 亿,78.18 亿,78.18 亿,7.508786201477051,118186549,130149,130149,0,1/1,1,化学制品
33,601975,招商南油,10.068650245666504,4.81,25.73 亿,225.12 亿,225.12 亿,11.816990852355957,30642874,130532,133044,7,1/1,1,航运港口
34,002995,天地在线,9.991119384765625,24.77,4.83 亿,27.85 亿,43.96 亿,17.97272491455078,174543291,130851,130851,0,1/1,1,广告营销
35,002980,华盛昌,9.988616943359375,38.65,5.20 亿,39.19 亿,73.20 亿,13.804189682006836,109725804,131739,131739,0,1/1,1,电网设备
