序号,代码,名称,最新价,涨跌幅,成交额(亿元),板块代码,板块名称,主营业务,板块次数
1,sh601868,中国能建,3.8,10.145,174.58 亿,,,,
2,sz002281,光迅科技,98.82,8.012,112.28 亿,,,,
3,sh600703,三安光电,18.74,9.977,79.68 亿,,,,
