序号,代码,名称,最新价,涨跌幅,成交额(亿元),板块代码,板块名称,主营业务,板块次数
1,sz000988,华工科技,127.9,-5.175,277.38 亿,,,,
2,sz300274,阳光电源,173.1,1.275,175.84 亿,,,,
3,sh601868,中国能建,3.8,10.145,174.58 亿,,,,
4,sz002202,金风科技,31.29,3.472,146.91 亿,,,,
5,sz300502,新易盛,378.77,-3.677,133.09 亿,,,,
6,sz300308,中际旭创,534.8,-3.584,129.06 亿,,,,
7,sz300394,天孚通信,334.04,0.918,116.19 亿,,,,
8,sz300750,宁德时代,395.5,-0.328,115.38 亿,,,,
9,sz002281,光迅科技,98.82,8.012,112.28 亿,,,,
10,sh600410,华胜天成,31.77,-2.785,111.85 亿,,,,
11,sh601669,中国电建,6.54,2.508,94.88 亿,,,,
12,sz002261,拓维信息,39.72,-3.311,90.71 亿,,,,
13,sh600989,宝丰能源,33.73,5.903,84.35 亿,,,,
14,sz002384,东山精密,109.3,4.294,82.87 亿,,,,
15,sz000547,航天发展,31.47,-5.524,82.29 亿,,,,
16,sh600703,三安光电,18.74,9.977,79.68 亿,,,,
17,sz300017,网宿科技,19.08,-1.548,79.10 亿,,,,
18,sz300476,胜宏科技,280.49,-1.513,78.61 亿,,,,
19,sh600487,亨通光电,51.42,1.22,78.29 亿,,,,
20,sh688525,佰维存储,202.85,-5.228,76.60 亿,,,,
