序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sh688825,长鑫科技,58.01,-1.007,209.35亿
2,sz300308,中际旭创,851.9,-0.751,189.26亿
3,sh600183,生益科技,153.4,5.321,157.42亿
4,sh688256,寒武纪,1112.18,6.263,131.44亿
5,sh600487,亨通光电,67.38,-1.921,127.38亿
6,sh603986,兆易创新,406.0,2.313,126.71亿
7,sz300502,新易盛,401.87,0.719,123.89亿
8,sz300274,阳光电源,91.5,-6.336,101.13亿
9,sz000938,紫光股份,38.95,8.526,100.50亿
10,sh601899,紫金矿业,33.67,-2.828,98.45亿
11,sz000977,浪潮信息,85.18,9.995,96.01亿
12,sz300750,宁德时代,363.55,-1.343,94.78亿
13,sh688008,澜起科技,204.95,-3.779,90.86亿
14,sz002384,东山精密,198.0,1.217,86.23亿
15,sz000725,京东方Ａ,6.01,1.52,81.22亿
16,sh600176,中国巨石,43.93,1.69,80.04亿
17,sh600378,昊华科技,53.01,-0.563,79.10亿
18,sz300394,天孚通信,263.0,-0.22,74.63亿
19,sz300476,胜宏科技,243.14,0.637,73.32亿
20,sh603259,药明康德,154.78,-1.665,72.83亿
