序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sh603986,兆易创新,677.77,-2.452,426.74亿
2,sz300308,中际旭创,1116.0,-2.362,377.02亿
3,sz000725,京东方Ａ,8.38,-7.912,355.97亿
4,sz300502,新易盛,526.0,3.34,284.33亿
5,sz002384,东山精密,232.73,4.985,278.21亿
6,sh688008,澜起科技,266.8,-0.873,194.66亿
7,sz001309,德明利,881.91,8.744,169.88亿
8,sh600176,中国巨石,70.9,4.541,166.54亿
9,sh600584,长电科技,90.88,-5.314,164.08亿
10,sh600487,亨通光电,89.42,-4.71,159.35亿
11,sh688525,佰维存储,427.91,2.175,158.99亿
12,sz002050,三花智控,48.99,9.061,153.71亿
13,sh601899,紫金矿业,27.82,5.779,150.70亿
14,sz300223,北京君正,259.56,10.606,144.27亿
15,sh688256,寒武纪,1353.0,-1.385,140.22亿
16,sh688012,中微公司,413.69,1.171,138.07亿
17,sz002371,北方华创,816.0,-2.98,134.59亿
18,sz002475,立讯精密,64.44,5.813,132.75亿
19,sz301308,江波龙,618.02,3.137,126.66亿
20,sz000021,深科技,55.91,-0.214,126.54亿
