序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,599.62,-2.023,227.41 亿
2,sz300502,新易盛,460.44,-3.482,222.56 亿
3,sz002594,比亚迪,107.63,4.465,192.85 亿
4,sz300750,宁德时代,401.99,-2.666,181.93 亿
5,sz300274,阳光电源,168.54,-2.915,176.91 亿
6,sh601899,紫金矿业,30.58,-3.381,151.09 亿
7,sz000988,华工科技,113.34,-2.36,109.55 亿
8,sz002506,协鑫集成,5.8,8.007,93.61 亿
9,sz002384,东山精密,105.23,-9.331,90.80 亿
10,sz300476,胜宏科技,261.42,-6.207,90.21 亿
11,sz300394,天孚通信,298.49,-4.33,82.73 亿
12,sh688525,佰维存储,225.0,-5.81,82.49 亿
13,sz300014,亿纬锂能,71.13,0.466,82.14 亿
14,sh688256,寒武纪,971.3,-5.239,80.95 亿
15,sh603986,兆易创新,273.35,-5.806,78.06 亿
16,sh600089,特变电工,28.15,0.5,77.02 亿
17,sh601012,隆基绿能,18.81,-0.948,76.95 亿
18,sh601318,中国平安,57.47,-3.8,72.64 亿
19,sh603993,洛阳钼业,16.49,-6.04,70.37 亿
20,sz002202,金风科技,27.41,-6.13,68.54 亿
