序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,002309,中利集团,9.973752975463867,4.19,3.07 亿,100.82 亿,126.02 亿,3.0459518432617188,412585403,092500,092500,0,2/2,2,光伏设备
2,300385,雪浪环境,19.98462677001953,15.61,1.11 亿,45.37 亿,52.00 亿,2.4423723220825195,206890257,092500,092500,0,1/1,1,环境治理
3,603687,大胜达,10.007468223571777,14.73,24.05 亿,81.02 亿,81.02 亿,30.379558563232422,6918681,092502,145652,17,4/4,4,包装印刷
4,600396,华电辽能,10.063898086547852,6.89,11.48 亿,101.47 亿,101.47 亿,11.429553031921387,182918338,093059,094247,3,12/7,6,电力
5,600758,辽宁能源,10.0,4.73,4.46 亿,62.47 亿,62.53 亿,7.192863941192627,238476624,093104,093104,0,1/1,1,煤炭开采
6,002896,中大力德,10.0,77.0,9.67 亿,151.32 亿,151.32 亿,6.42289924621582,14770756,093145,145142,6,1/1,1,通用设备
7,002150,正泰电源,10.00573444366455,38.37,22.50 亿,137.57 亿,138.47 亿,16.518665313720703,51665051,093209,143936,6,9/5,2,通用设备
8,603272,联翔股份,10.0,23.98,1.06 亿,24.85 亿,24.85 亿,4.314386367797852,3544244,093450,145308,1,1/1,1,家居用品
9,600143,金发科技,10.01878547668457,17.57,32.44 亿,462.94 亿,462.94 亿,7.062828063964844,18770786,093903,144954,16,1/1,1,塑料
10,600844,金煤科技,10.10929012298584,4.03,2.98 亿,33.16 亿,40.97 亿,9.224884986877441,106867729,093954,093954,0,1/1,1,化学原料
11,002565,顺灏股份,9.974093437194824,16.98,47.13 亿,179.98 亿,179.99 亿,26.641328811645508,87390252,094027,145230,12,5/3,1,包装印刷
12,600792,云煤能源,10.067113876342773,4.92,3.83 亿,54.61 亿,54.61 亿,7.107807636260986,40140804,094221,095242,2,1/1,1,焦炭Ⅱ
13,603529,爱玛科技,10.007072448730469,31.11,11.99 亿,263.68 亿,270.00 亿,4.587808609008789,44571950,094221,135621,7,1/1,1,摩托车及
14,300345,华民股份,20.026700973510742,8.99,16.05 亿,43.09 亿,52.16 亿,38.60483169555664,16910549,094430,144206,12,1/1,1,光伏设备
15,603787,新日股份,10.022271156311035,14.82,3.58 亿,34.11 亿,34.11 亿,10.680412292480469,22038258,094534,135916,1,1/1,1,摩托车及
16,001258,立新能源,10.051814079284668,10.62,9.03 亿,99.12 亿,99.12 亿,9.368976593017578,92711782,094606,142400,2,3/2,1,电力
17,002310,东方新能,10.05747127532959,3.83,31.95 亿,160.82 亿,229.77 亿,20.290958404541016,51780431,094857,134639,7,6/4,3,电力
18,300868,杰美特,19.994821548461914,46.33,7.97 亿,37.42 亿,59.28 亿,22.17444610595703,4966576,095100,142339,24,1/1,1,消费电子
19,600376,首开股份,9.925093650817871,5.87,12.82 亿,151.42 亿,151.42 亿,8.649259567260742,169305169,095224,095224,0,1/1,1,房地产开
20,002218,拓日新能,10.016695022583008,6.59,12.23 亿,91.76 亿,93.12 亿,13.731851577758789,225424070,095709,095709,0,1/1,1,电力
21,603803,瑞斯康达,10.015060424804688,14.61,17.82 亿,62.08 亿,62.08 亿,29.994670867919922,17368294,102238,144908,9,10/5,1,通信设备
22,603727,博迈科,10.027854919433594,19.75,4.14 亿,55.64 亿,55.64 亿,7.735182285308838,88766710,102607,102607,0,1/1,1,油服工程
23,600032,浙江新能,10.0204496383667,10.76,17.26 亿,258.74 亿,258.74 亿,6.853883266448975,12951812,102641,144948,9,1/1,1,电力
24,603016,新宏泰,10.008554458618164,38.58,3.96 亿,57.16 亿,57.16 亿,7.136420249938965,4359540,103554,145124,4,4/2,1,电网设备
25,603616,韩建河山,10.015174865722656,7.25,3.15 亿,27.86 亿,28.37 亿,11.722618103027344,45010175,130100,130100,0,1/1,1,水泥
26,600149,廊坊发展,10.034602165222168,6.36,2.85 亿,24.18 亿,24.18 亿,12.453361511230469,54114696,130432,130432,0,1/1,1,电力
27,000703,恒逸石化,10.037175178527832,11.84,7.16 亿,424.27 亿,426.55 亿,1.7565414905548096,134348195,130642,130642,0,1/1,1,炼化及贸
28,603105,芯能科技,10.017271041870117,12.74,12.99 亿,63.70 亿,63.70 亿,21.39287567138672,7577752,135934,145143,5,1/1,1,电力
