序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,908.9,0.724,184.21亿
2,sz002384,东山精密,196.06,5.171,161.60亿
3,sh600487,亨通光电,66.62,5.562,144.93亿
4,sz300750,宁德时代,336.84,0.402,129.57亿
5,sz300502,新易盛,414.8,-0.384,120.25亿
6,sz000988,华工科技,108.79,8.216,111.16亿
7,sh688825,长鑫科技,56.87,-2.603,102.77亿
8,sh600522,中天科技,34.12,4.952,89.96亿
9,sh601869,长飞光纤,442.03,6.041,88.86亿
10,sh603986,兆易创新,381.87,-1.06,88.16亿
11,sh600183,生益科技,148.16,1.285,88.01亿
12,sh600176,中国巨石,42.67,3.093,84.08亿
13,sz300394,天孚通信,258.03,-0.182,79.07亿
14,sz002281,光迅科技,182.79,1.595,74.55亿
15,sh600869,远东股份,24.93,10.018,73.71亿
16,sh600105,永鼎股份,41.48,6.06,71.61亿
17,sh688256,寒武纪,1054.96,-0.381,69.14亿
18,sh603618,杭电股份,41.58,3.665,69.10亿
19,sz002436,兴森科技,39.45,-1.67,68.87亿
20,sh601899,紫金矿业,34.4,1.595,68.03亿
