序号,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,成交额(亿元)
1,sh000001,上证指数,3951.5068,10.956,0.278,3940.5509,3943.9221,3958.1171,3933.4692,517504311.0,873734897106,8737.35亿
2,sz399001,深证成指,13723.322,20.114,0.147,13703.208,13788.942,13788.942,13625.119,60314376278.0,981871743157,9818.72亿
3,Total,沪深总成交额,,,,,,,,,1855606640263,18556.07亿
