序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000020,深华发Ａ,10.010374069213867,21.21,6897.67 万,38.43 亿,60.06 亿,1.7950900793075562,585714531,092500,092500,0,4/4,4,光学光电
2,000601,韶能股份,9.955423355102539,7.4,2.39 亿,77.66 亿,78.76 亿,3.0759854316711426,364670564,092500,092500,0,2/2,2,电力
3,002109,兴化股份,10.0,5.28,4.11 亿,67.39 亿,67.39 亿,6.100769519805908,65830126,092500,092500,0,1/1,1,化学原料
4,603687,大胜达,10.036166191101074,12.17,5976.24 万,66.94 亿,66.94 亿,0.8927902579307556,330908007,092503,092503,0,2/2,2,包装印刷
5,600396,华电辽能,10.058026313781738,5.69,10.29 亿,83.80 亿,83.80 亿,12.510908126831055,151881070,093106,093621,4,10/5,4,电力
6,000815,美利云,10.022778511047363,19.32,13.67 亿,134.32 亿,134.32 亿,10.314397811889648,308871641,093109,093406,1,2/2,2,IT服务Ⅱ
7,000539,粤电力Ａ,9.98217487335205,6.17,8.45 亿,157.67 亿,323.94 亿,5.431243419647217,43161031,093151,093333,2,2/2,2,电力
8,600666,奥瑞德,9.909910202026367,4.88,13.47 亿,118.08 亿,134.27 亿,11.764391899108887,209237695,093358,093358,0,2/2,2,光学光电
9,603366,日出东方,10.030706405639648,10.75,7.42 亿,87.40 亿,87.40 亿,8.60595703125,176321532,093433,100348,1,1/1,1,厨卫电器
10,601015,陕西黑猫,10.064239501953125,5.14,9.97 亿,104.98 亿,104.98 亿,9.590865135192871,78749364,093436,095556,2,1/1,1,焦炭Ⅱ
11,600979,广安爱众,9.961685180664062,5.74,6.48 亿,70.73 亿,72.42 亿,9.358600616455078,91063986,093711,093711,0,1/1,1,电力
12,601218,吉鑫科技,10.074073791503906,7.43,9.49 亿,72.00 亿,72.00 亿,13.587045669555664,169537138,094157,094157,0,1/1,1,风电设备
13,600186,莲花控股,10.061920166015625,7.11,20.69 亿,126.58 亿,127.47 亿,16.600217819213867,18469647,094735,145323,4,1/1,1,调味发酵
14,603629,利通电子,10.0032320022583,68.07,22.10 亿,174.84 亿,178.60 亿,13.036996841430664,110620488,094910,134222,3,1/1,1,消费电子
15,002432,九安医疗,10.008339881896973,65.95,45.72 亿,289.13 亿,306.65 亿,16.01804542541504,110622881,095027,144703,10,2/2,2,医疗器械
16,001258,立新能源,9.978541374206543,10.25,7.53 亿,95.67 亿,95.67 亿,8.06832504272461,168855425,095030,095030,0,1/1,1,电力
17,600996,贵广网络,9.953703880310059,9.5,6.86 亿,118.45 亿,118.45 亿,5.931463718414307,104272703,095636,095636,0,1/1,1,电视广播
18,300895,铜牛信息,19.993711471557617,76.34,20.57 亿,105.48 亿,107.49 亿,20.58538818359375,72055646,100006,131709,7,1/1,1,IT服务Ⅱ
19,605389,长龄液压,9.995716094970703,77.03,2.32 亿,104.97 亿,110.99 亿,2.2510793209075928,98001186,100840,100840,0,1/1,1,工程机械
20,002310,东方新能,10.10452938079834,3.16,9.67 亿,132.69 亿,189.58 亿,7.688225746154785,156930340,102127,102127,0,4/2,1,电力
21,603130,云中马,10.012063026428223,45.6,1.92 亿,62.71 亿,62.71 亿,3.166109323501587,14359440,102611,102611,0,1/1,1,纺织制造
22,600617,国新能源,10.0,3.63,4.82 亿,64.45 亿,70.03 亿,7.680316925048828,77897476,102751,104427,1,1/1,1,燃气Ⅱ
23,600726,华电能源,10.087719917297363,5.02,24.05 亿,375.26 亿,396.95 亿,6.772644519805908,22797727,103911,145653,6,8/5,1,电力
24,000968,蓝焰控股,9.977578163146973,9.81,7.96 亿,94.91 亿,94.91 亿,8.767897605895996,176823268,133636,133636,0,1/1,1,油气开采
25,300332,天壕能源,20.0,7.14,13.15 亿,59.26 亿,61.77 亿,24.04705238342285,105564921,134003,134003,0,1/1,1,燃气Ⅱ
26,605169,洪通燃气,10.0,14.19,2.43 亿,40.14 亿,40.14 亿,6.2003703117370605,6516048,134320,135453,4,1/1,1,燃气Ⅱ
27,000617,中油资本,9.958932876586914,10.71,57.38 亿,1353.97 亿,1353.97 亿,4.4167070388793945,372763916,135309,135309,0,4/2,1,多元金融
28,002902,铭普光磁,10.009182929992676,23.96,9.13 亿,42.56 亿,56.31 亿,22.331436157226562,167333237,140906,140906,0,1/1,1,通信设备
