序号,代码,名称,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,涨停统计,振幅,所属行业
1,603387,基蛋生物,-1.734104037284851,10.2,11.42,13.16 亿,51.73 亿,51.73 亿,24.148168563842773,0.1964636594057083,093142,1,3/2,14.643545150756836,医疗器械
2,603803,瑞斯康达,5.864432334899902,13.9,14.44,19.15 亿,59.06 亿,59.06 亿,32.07038116455078,-0.14367815852165222,094114,6,8/4,10.586443901062012,通信设备
3,002580,圣阳股份,4.972805023193359,13.51,14.16,5.27 亿,61.11 亿,61.32 亿,8.608549118041992,0.0,094954,1,0/0,12.043512344360352,电池
4,603042,华脉科技,4.706477642059326,20.69,21.74,8.16 亿,33.23 亿,33.23 亿,24.16705894470215,0.0,095305,1,0/0,13.259109497070312,通信设备
5,600821,金开新能,6.315789222717285,11.11,11.5,74.67 亿,221.90 亿,221.90 亿,33.53555679321289,-0.1796945184469223,095743,5,0/0,13.875597953796387,电力
6,603189,网达软件,4.581673622131348,21.0,22.09,8.97 亿,56.61 亿,56.61 亿,15.515846252441406,0.5265677571296692,100018,1,2/1,9.41235065460205,软件开发
7,603985,恒润股份,6.8108110427856445,19.76,20.35,13.93 亿,87.11 亿,87.11 亿,16.01552391052246,0.10131713002920151,100652,1,0/0,12.05405330657959,风电设备
8,300317,珈伟新能,15.973377227783203,6.97,7.21,27.33 亿,57.78 亿,57.86 亿,48.810420989990234,0.0,103857,1,0/0,23.46089744567871,电力
9,000032,深桑达Ａ,4.809286594390869,18.96,19.9,15.46 亿,215.76 亿,230.40 亿,7.107089042663574,0.0,112757,1,0/0,12.382532119750977,专业工程
10,600131,国网信通,7.396450042724609,21.78,22.31,14.55 亿,260.47 亿,261.00 亿,5.737071514129639,-0.0917431190609932,140834,1,0/0,13.708086013793945,IT服务Ⅱ
