序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业
1,600965,福成股份,-100.0,0.0,0.00,0.00,0.00,0.0,0.0,0,000000,0,3,0,养殖业
2,603378,亚士创能,-100.0,0.0,0.00,0.00,0.00,-0.0,0.0,0,000000,0,1,0,装修建材
3,002368,太极股份,-10.02087688446045,17.24,4.94 亿,106.93 亿,107.45 亿,-22.45155143737793,4.588557243347168,10505228,143624,689848565,1,2,IT服务Ⅱ
4,002209,达 意 隆,-9.982068061828613,15.06,1.58 亿,23.54 亿,29.97 亿,41.24701690673828,6.658502578735352,16562235,095136,100395984,1,4,专用设备
5,002210,飞马国际,-9.969788551330566,2.98,13.00 亿,79.13 亿,79.30 亿,170.87054443359375,15.950336456298828,17360639,143303,263969440,1,25,环境治理
6,603516,淳中科技,-9.99683666229248,142.25,21.54 亿,289.15 亿,289.15 亿,4227.7216796875,7.115499019622803,19597640,134625,559128544,1,33,计算机设
7,601717,中创智领,-9.980713844299316,18.67,12.10 亿,287.92 亿,333.33 亿,9.341243743896484,4.16547966003418,25664192,140552,220479328,1,2,专用设备
8,600821,金开新能,-10.034602165222168,7.8,21.12 亿,153.45 亿,153.45 亿,-199.81105041503906,13.459209442138672,32302093,133218,291097723,1,2,电力
9,600545,卓郎智能,-9.944750785827637,4.89,10.59 亿,87.43 亿,87.43 亿,-72.63467407226562,11.736806869506836,37148841,135850,151533283,1,8,专用设备
10,603113,金能科技,-9.932886123657227,6.71,1.03 亿,56.93 亿,56.93 亿,-2.4102063179016113,1.7995524406433105,48771386,093434,1051168470,1,3,化学原料
11,001896,豫能控股,-9.982279777526855,15.24,24.12 亿,232.53 亿,232.53 亿,198.54376220703125,10.138837814331055,171392834,110409,1192087002,1,1,电力
