排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,锂矿概念,BK1173,2256.7,118.06,5.52,44660.23 亿,3.65,37,2,江特电机,10.05
2,单抗概念,BK0870,1751.7,83.53,5.01,16912.98 亿,1.82,49,0,双鹭药业,9.98
3,阿兹海默,BK0894,2076.35,98.19,4.96,2703.45 亿,4.49,20,0,万邦德,10.01
4,减肥药,BK1146,1256.31,57.61,4.81,9172.83 亿,2.11,35,0,美诺华,9.99
5,CRO,BK0899,1806.02,81.5,4.73,6977.95 亿,2.47,37,0,昭衍新药,10.0
