序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,002294,信立泰,61.88,10.01,5.63,123918,7.43 亿,10.81,61.88,55.8,56.2,56.25,1.11,89.1,7.86,减肥药
2,603538,美诺华,39.18,9.99,3.56,212182,8.20 亿,5.64,39.18,37.17,37.94,35.62,9.81,67.53,3.85,减肥药
3,002038,双鹭药业,6.61,9.98,0.6,580711,3.72 亿,11.81,6.61,5.9,5.98,6.01,6.82,36.1,1.19,减肥药
4,688302,海创药业-U,40.7,7.27,2.76,31041,1.26 亿,12.1,42.8,38.21,38.61,37.94,3.13,-29.48,3.79,减肥药
5,600276,恒瑞医药,55.18,6.88,3.55,991196,53.94 亿,8.46,55.48,51.11,51.3,51.63,1.55,47.5,5.98,减肥药
6,301257,普蕊斯,56.26,6.82,3.59,25435,1.41 亿,10.29,56.85,51.43,52.08,52.67,3.38,38.15,3.55,减肥药
7,605116,奥锐特,26.68,6.63,1.66,89966,2.37 亿,8.87,26.98,24.76,24.76,25.02,2.21,22.99,4.3,减肥药
8,688166,博瑞医药,49.52,6.52,3.03,180278,8.85 亿,10.39,50.58,45.75,46.0,46.49,4.26,384.34,8.52,减肥药
9,300149,睿智医药,10.27,6.1,0.59,178668,1.80 亿,8.26,10.35,9.55,9.59,9.68,3.76,540.88,4.08,减肥药
10,000963,华东医药,35.48,5.91,1.98,194589,6.77 亿,7.25,35.53,33.1,33.2,33.5,1.11,16.98,2.58,减肥药
11,600867,通化东宝,8.9,5.83,0.49,538195,4.70 亿,7.25,8.92,8.31,8.35,8.41,2.75,10.87,2.45,减肥药
12,000813,德展健康,3.47,5.79,0.19,571823,1.96 亿,9.15,3.53,3.23,3.25,3.28,2.73,-89.43,1.46,减肥药
13,002317,众生药业,18.53,5.46,0.96,335498,6.11 亿,6.89,18.54,17.33,17.4,17.57,4.41,47.14,3.91,减肥药
14,300199,翰宇药业,18.8,5.38,0.96,468733,8.68 亿,7.62,18.94,17.58,17.61,17.84,6.29,174.54,25.58,减肥药
15,603087,甘李药业,61.72,5.34,3.13,111175,6.81 亿,8.14,62.47,57.7,57.71,58.59,1.99,33.79,3.27,减肥药
