序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,688710,益诺思,65.99,14.57,8.39,33600,2.15 亿,17.24,68.0,58.07,58.69,57.6,3.7,-304.87,4.0,CRO
2,301201,诚达药业,46.34,12.86,5.28,109784,4.91 亿,16.27,46.68,40.0,40.55,41.06,10.11,320.57,3.37,CRO
3,300683,海特生物,38.81,10.95,3.83,168807,6.34 亿,15.89,39.5,33.94,34.62,34.98,13.83,-24.1,2.27,CRO
4,603127,昭衍新药,30.24,10.0,2.75,202060,5.90 亿,11.71,30.24,27.02,27.24,27.49,3.21,210.58,2.79,CRO
5,688202,美迪西,60.3,8.75,4.85,54201,3.20 亿,11.92,61.0,54.39,54.39,55.45,4.03,-52.26,4.12,CRO
6,688222,成都先导,24.89,7.05,1.64,178632,4.37 亿,8.6,25.06,23.06,23.13,23.25,4.46,87.47,6.69,CRO
7,300149,睿智医药,10.27,6.1,0.59,178668,1.80 亿,8.26,10.35,9.55,9.59,9.68,3.76,540.88,4.08,CRO
8,301230,泓博医药,36.9,5.52,1.93,63831,2.31 亿,7.64,36.97,34.3,34.49,34.97,5.08,111.17,5.02,CRO
9,300347,泰格医药,53.45,5.26,2.67,150599,7.90 亿,7.07,53.65,50.06,50.4,50.78,2.66,33.83,2.17,CRO
10,688621,阳光诺和,64.68,5.0,3.08,29393,1.88 亿,8.78,65.62,60.21,61.51,61.6,2.62,36.94,5.99,CRO
11,603456,九洲药业,16.59,5.0,0.79,171744,2.80 亿,6.46,16.61,15.59,15.65,15.8,1.93,14.8,1.69,CRO
12,300725,药石科技,35.74,4.93,1.68,84591,2.98 亿,6.78,35.9,33.59,33.66,34.06,4.17,55.27,1.17,CRO
13,688073,毕得医药,55.13,4.77,2.51,9806,5329.64 万,7.11,55.4,51.66,52.0,52.62,2.27,32.92,2.45,CRO
14,300363,博腾股份,20.41,4.67,0.91,101388,2.04 亿,6.51,20.48,19.21,19.25,19.5,2.03,104.09,2.09,CRO
15,603739,蔚蓝生物,14.75,4.61,0.65,48411,7042.16 万,5.89,14.78,13.95,13.96,14.1,1.91,45.31,2.1,CRO
