序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,300502,新易盛,447.41,-2.1,134.37 亿
2,300308,中际旭创,598.0,-2.64,134.22 亿
3,300750,宁德时代,416.18,3.4,124.66 亿
4,000988,华工科技,109.5,3.94,105.99 亿
5,002460,赣锋锂业,79.67,10.0,100.74 亿
6,300274,阳光电源,163.35,-1.6,94.76 亿
7,300394,天孚通信,317.6,-2.28,90.92 亿
8,002475,立讯精密,50.61,0.84,87.37 亿
9,688525,佰维存储,238.4,-0.24,78.23 亿
10,601899,紫金矿业,32.47,1.18,73.83 亿
11,603986,兆易创新,258.66,-1.27,72.92 亿
12,002594,比亚迪,105.3,2.09,68.94 亿
13,000338,潍柴动力,23.5,-1.18,67.48 亿
14,600487,亨通光电,48.95,2.23,67.44 亿
15,300014,亿纬锂能,72.4,3.43,65.08 亿
16,002709,天赐材料,46.11,3.64,64.53 亿
17,002384,东山精密,102.65,-1.58,64.48 亿
18,000792,盐湖股份,39.45,7.06,62.02 亿
19,600666,奥瑞德,6.08,9.95,61.20 亿
20,300054,鼎龙股份,53.07,17.33,60.73 亿
