序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,600227,赤天化,4.27,10.05,0.39,3202950,13.43 亿,12.89,4.27,3.77,3.77,3.88,25.07,-35.47,3.01,阿兹海默
2,002082,万邦德,26.04,10.01,2.37,280775,6.99 亿,12.67,26.04,23.04,23.25,23.67,5.07,-80.13,6.41,阿兹海默
3,002038,双鹭药业,6.61,9.98,0.6,580711,3.72 亿,11.81,6.61,5.9,5.98,6.01,6.82,36.1,1.19,阿兹海默
4,002773,康弘药业,27.65,9.98,2.51,83098,2.23 亿,11.02,27.65,24.88,24.92,25.14,1.21,18.5,2.78,阿兹海默
5,002020,京新药业,15.48,6.61,0.96,201545,3.05 亿,8.82,15.58,14.3,14.38,14.52,2.78,17.37,2.36,阿兹海默
6,300149,睿智医药,10.27,6.1,0.59,178668,1.80 亿,8.26,10.35,9.55,9.59,9.68,3.76,540.88,4.08,阿兹海默
7,600771,广誉远,16.89,6.09,0.97,111120,1.88 亿,4.27,17.34,16.66,16.66,15.92,2.27,78.6,5.01,阿兹海默
8,002675,东诚药业,13.16,4.69,0.59,126405,1.64 亿,6.05,13.22,12.46,12.46,12.57,1.7,55.47,2.49,阿兹海默
9,301509,金凯生科,42.1,4.44,1.79,160420,6.71 亿,7.64,42.79,39.71,40.01,40.31,28.27,36.77,2.3,阿兹海默
10,688105,诺唯赞,19.41,4.24,0.79,14461,2763.81 万,5.64,19.45,18.4,18.5,18.62,0.36,-454.92,2.03,阿兹海默
11,000756,新华制药,14.94,3.89,0.56,94699,1.40 亿,5.01,14.96,14.24,14.27,14.38,1.9,30.47,2.0,阿兹海默
12,301258,富士莱,31.8,3.68,1.13,11051,3467.73 万,6.13,31.9,30.02,30.3,30.67,1.24,29.79,1.52,阿兹海默
13,600196,复星医药,26.13,3.32,0.84,227422,5.89 亿,4.19,26.18,25.12,25.2,25.29,1.07,20.7,1.43,阿兹海默
14,000766,通化金马,19.8,2.91,0.56,252199,4.97 亿,6.34,20.1,18.88,19.0,19.24,2.61,574.94,8.32,阿兹海默
15,300244,迪安诊断,18.5,2.78,0.5,181012,3.33 亿,4.67,18.66,17.82,17.82,18.0,3.61,152.93,1.79,阿兹海默
