序号,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,成交额(亿元)
1,sh000001,上证指数,3923.2869,9.563,0.244,3913.7238,3884.2769,3924.2893,3872.7756,595589479.0,839822434665,8398.22 亿
2,sz399001,深证成指,13726.19,-34.179,-0.248,13760.369,13618.794,13748.207,13536.562,65306873290.0,1076058862954,10760.59 亿
3,Total,沪深总成交额,,,,,,,,,1915881297619,19158.81 亿
