序号,名称,代码,连板数,涨停统计,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,所属行业,涨停价,涨速,振幅
1,美诺华,603538,5.0,12天7板,10.005104064941406,43.1,3.84 亿,93.18 亿,95.01 亿,4.119560718536377,146882860.0,093027,093027,0,化学制药,,,
2,神剑股份,002361,3.0,3天3板,9.970674514770508,15.0,33.13 亿,121.37 亿,142.66 亿,28.426225662231445,285894210.0,102927,102927,0,塑料,,,
4,中农联合,003042,2.0,2天2板,10.016695022583008,19.77,2.78 亿,25.18 亿,28.17 亿,11.219955444335938,120323185.0,093727,093727,0,农化制品,,,
6,双鹭药业,002038,2.0,4天3板,9.984871864318848,7.27,11.68 亿,61.93 亿,74.69 亿,18.979400634765625,15530901.0,093024,145542,9,化学制药,,,
20,东诚药业,002675,1.0,首板,10.030394554138184,14.48,2.08 亿,107.64 亿,119.40 亿,1.9286264181137085,84629808.0,092500,092500,0,化学制药,,,
21,金健米业,600127,1.0,首板,9.956075668334961,7.51,2.85 亿,48.20 亿,48.20 亿,5.9926629066467285,107259577.0,093432,093432,0,农产品加,,,
31,新农开发,600359,1.0,首板,10.071942329406738,7.65,1.50 亿,29.19 亿,29.19 亿,5.326930999755859,65114505.0,100657,100657,0,种植业,,,
49,塞力医疗,603716,1.0,首板,10.009671211242676,22.75,7.07 亿,48.11 亿,48.11 亿,15.218677520751953,114328919.0,131010,131010,0,医药商业,,,
58,合富中国,603122,1.0,首板,10.0130033493042,16.92,8.39 亿,67.35 亿,67.35 亿,12.949016571044922,44946288.0,134400,134442,1,医疗服务,,,
1,金煤科技,600844,0.0,6天3板,4.208416938781738,5.2,14.88 亿,42.78 亿,52.86 亿,34.171104431152344,,092502,,3,化学原料,5.49,0.19267822802066803,10.220440864562988
4,万邦德,002082,0.0,5天3板,5.4147467613220215,27.45,18.27 亿,151.87 亿,167.91 亿,11.894594192504883,,093215,,4,化学制药,28.64,0.2556610703468323,9.062979698181152
8,北大荒,600598,0.0,0天0板,8.369498252868652,17.48,18.05 亿,310.74 亿,310.74 亿,5.795997142791748,,093657,,6,种植业,17.74,-0.05717552825808525,9.919404983520508
11,苏垦农发,601952,0.0,0天0板,6.182531833648682,10.82,8.20 亿,149.10 亿,149.10 亿,5.442084789276123,,094413,,1,种植业,11.21,0.0,11.481844902038574
