排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,昨日连板,BK0816,4772.14,134.46,2.9,1341.64 亿,7.62,10,2,美诺华,10.01
2,粮食概念,BK1086,849.27,23.69,2.87,2518.77 亿,4.92,28,3,金健米业,9.96
3,肝素概念,BK0944,974.34,24.78,2.61,2239.20 亿,2.49,12,1,东诚药业,10.03
4,草甘膦,BK0950,1957.18,48.97,2.57,2135.19 亿,3.25,12,1,中农联合,10.02
5,SPD概念,BK1147,1094.48,26.37,2.47,976.82 亿,2.35,12,1,塞力医疗,10.01
