序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,300308,中际旭创,589.08,-1.49,122.83 亿
2,300502,新易盛,458.38,2.45,116.04 亿
3,300274,阳光电源,157.1,-3.83,110.53 亿
4,300750,宁德时代,413.0,-0.76,104.40 亿
5,002460,赣锋锂业,80.15,0.6,93.90 亿
6,002475,立讯精密,48.76,-3.66,78.06 亿
7,002594,比亚迪,106.05,0.71,77.13 亿
8,601899,紫金矿业,32.78,0.95,76.76 亿
9,601600,中国铝业,11.97,4.63,76.58 亿
10,300394,天孚通信,316.81,-0.25,72.88 亿
11,002709,天赐材料,48.17,4.47,72.62 亿
12,688525,佰维存储,231.99,-2.69,72.13 亿
13,600487,亨通光电,53.85,10.01,69.45 亿
14,000547,航天发展,28.68,4.82,66.92 亿
15,001309,德明利,400.3,4.82,64.25 亿
16,000988,华工科技,106.95,-2.33,63.61 亿
17,300014,亿纬锂能,69.09,-4.57,59.62 亿
18,300476,胜宏科技,257.28,-1.84,56.72 亿
19,002428,云南锗业,52.35,1.93,56.65 亿
20,002149,西部材料,53.15,7.48,55.32 亿
