序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,600359,新农开发,7.65,10.07,0.7,203229,1.50 亿,11.51,7.65,6.85,6.86,6.95,5.33,203.4,4.36,粮食概念
2,600127,金健米业,7.51,9.96,0.68,384599,2.85 亿,11.13,7.51,6.75,6.75,6.83,5.99,287.94,7.09,粮食概念
3,600598,北大荒,17.48,8.37,1.35,1030343,18.05 亿,9.92,17.74,16.14,16.14,16.13,5.8,26.65,3.88,粮食概念
4,601952,苏垦农发,10.82,6.18,0.63,749919,8.20 亿,11.48,11.21,10.04,10.12,10.19,5.44,26.93,2.12,粮食概念
5,600540,新赛股份,5.1,5.15,0.25,379081,1.92 亿,8.25,5.18,4.78,4.78,4.85,6.52,-47.06,6.8,粮食概念
6,600313,农发种业,8.51,4.8,0.39,1397601,11.83 亿,8.62,8.74,8.04,8.04,8.12,12.91,119.59,4.67,粮食概念
7,600371,万向德农,8.87,3.86,0.33,138810,1.22 亿,6.44,8.96,8.41,8.42,8.54,4.74,100.62,4.72,粮食概念
8,300189,神农种业,7.47,3.75,0.27,1659156,12.34 亿,6.53,7.55,7.08,7.08,7.2,18.72,1014.47,10.48,粮食概念
9,603182,嘉华股份,15.7,3.63,0.55,42727,6631.20 万,5.41,15.79,14.97,15.07,15.15,2.6,23.58,2.36,粮食概念
10,000998,隆平高科,10.28,3.52,0.35,623484,6.43 亿,6.95,10.5,9.81,9.82,9.93,4.74,-17.07,2.64,粮食概念
11,920403,康农种业,23.03,3.32,0.74,35141,8135.12 万,7.9,23.86,22.1,22.2,22.29,5.95,28.49,4.08,粮食概念
12,600191,华资实业,12.56,3.12,0.38,99386,1.24 亿,4.02,12.67,12.18,12.29,12.18,2.05,79.77,3.6,粮食概念
13,300087,荃银高科,8.35,2.96,0.24,278421,2.33 亿,5.55,8.46,8.01,8.06,8.11,3.11,-32.96,4.54,粮食概念
14,600354,敦煌种业,7.01,2.94,0.2,657511,4.60 亿,6.17,7.15,6.73,6.73,6.81,12.46,74.55,5.37,粮食概念
15,600300,维维股份,3.59,2.87,0.1,434406,1.56 亿,6.02,3.67,3.46,3.46,3.49,2.69,18.05,1.65,粮食概念
