序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业
1,000720,新能泰山,-9.981851577758789,4.96,16.05 亿,62.32 亿,62.32 亿,-1178.0819091796875,24.231464385986328,20338142,143027,216555921,1,12,电网设备
2,000862,银星能源,-9.96216869354248,7.14,6.72 亿,44.84 亿,65.54 亿,147.4017333984375,14.728468894958496,21360452,142000,193923069,1,11,电力
3,000966,长源电力,-9.981851577758789,4.96,10.24 亿,161.77 亿,172.66 亿,37.94717788696289,6.2032599449157715,28277431,134621,182462083,1,7,电力
4,600982,宁波能源,-9.93197250366211,6.62,11.26 亿,73.99 亿,73.99 亿,22.95882797241211,14.920551300048828,61267265,134720,313298628,1,17,电力
5,000639,西王食品,-10.0,2.88,1.53 亿,31.09 亿,31.09 亿,1049.3497314453125,4.902457237243652,71730737,093451,711960536,1,5,食品加工
6,001896,豫能控股,-9.97581672668457,14.89,27.01 亿,227.19 亿,227.19 亿,58.19999694824219,11.61943531036377,185214416,130336,3071065967,1,10,电力
7,600758,辽宁能源,-9.94575023651123,4.98,5.18 亿,65.77 亿,65.84 亿,-48.992244720458984,7.772751331329346,274222240,093918,4708158357,2,0,煤炭开采
8,000767,晋控电力,-10.019646644592285,4.58,12.40 亿,133.38 亿,140.92 亿,33.514034271240234,8.925904273986816,381025923,093903,337303260,1,1,电力
9,600396,华电辽能,-10.011122703552246,8.09,9.98 亿,119.14 亿,119.14 亿,2688.04150390625,8.213250160217285,541415006,093835,9741192420,1,1,电力
10,600726,华电能源,-10.029940605163574,6.01,9.69 亿,449.27 亿,475.23 亿,133.40267944335938,2.0963997840881348,556148235,093950,249073031,1,0,电力
