序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,003042,中农联合,19.77,10.02,1.8,142904,2.78 亿,6.62,19.77,18.58,18.58,17.97,11.22,-47.16,2.15,草甘膦
2,600486,扬农化工,77.0,4.0,2.96,86805,6.66 亿,6.55,78.55,73.7,74.04,74.04,2.15,24.27,2.72,草甘膦
3,600389,江山股份,29.44,3.66,1.04,125751,3.70 亿,6.58,30.1,28.23,28.23,28.4,2.92,22.36,3.1,草甘膦
4,603599,广信股份,14.77,3.29,0.47,229343,3.42 亿,7.06,15.28,14.27,14.49,14.3,2.52,19.38,1.35,草甘膦
5,002004,华邦健康,5.39,3.26,0.17,489377,2.61 亿,4.21,5.4,5.18,5.22,5.22,2.6,13.08,1.1,草甘膦
6,603077,和邦生物,2.94,2.8,0.08,3974276,11.58 亿,5.24,2.98,2.83,2.85,2.86,4.5,209.15,1.43,草甘膦
7,000713,国投丰乐,6.72,2.6,0.17,171102,1.15 亿,4.43,6.79,6.5,6.51,6.55,2.79,-44.35,2.17,草甘膦
8,600141,兴发集团,34.32,1.78,0.6,293165,10.03 亿,3.77,34.7,33.43,33.5,33.72,2.44,23.46,1.74,草甘膦
9,301035,润丰股份,77.46,0.75,0.58,15471,1.19 亿,4.23,78.25,75.0,77.33,76.88,0.55,18.33,2.98,草甘膦
10,002215,诺 普 信,10.47,0.67,0.07,85414,8886.38 万,2.88,10.55,10.25,10.3,10.4,1.06,13.71,2.54,草甘膦
11,600596,新安股份,11.03,0.36,0.04,236453,2.61 亿,3.64,11.18,10.78,10.9,10.99,1.75,156.42,1.2,草甘膦
12,000525,红太阳,6.06,0.33,0.02,274530,1.66 亿,3.15,6.13,5.94,5.97,6.04,2.47,-21.82,3.01,草甘膦
13,000553,安道麦A,6.47,-0.15,-0.01,422911,2.74 亿,4.32,6.63,6.35,6.46,6.48,1.94,-14.41,0.86,草甘膦
