序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,603538,美诺华,43.1,10.01,3.92,89063,3.84 亿,1.79,43.1,42.4,43.1,39.18,4.12,74.29,4.23,昨日连板
2,002361,神剑股份,15.0,9.97,1.36,2300031,33.13 亿,13.12,15.0,13.21,13.37,13.64,28.43,352.87,6.44,昨日连板
3,002082,万邦德,27.45,5.41,1.41,658072,18.27 亿,9.06,28.64,26.28,26.82,26.04,11.89,-84.47,6.76,昨日连板
4,002192,融捷股份,81.98,5.1,3.98,630410,51.79 亿,5.65,84.44,80.03,83.35,78.0,24.33,76.36,6.03,昨日连板
5,000908,ST景峰,8.16,5.02,0.39,179985,1.46 亿,2.96,8.16,7.93,7.99,7.77,2.05,-241.63,192.48,昨日连板
6,600844,金煤科技,5.2,4.21,0.21,2811361,14.88 亿,10.22,5.49,4.98,5.49,4.99,34.17,-44.64,37.83,昨日连板
7,002569,*ST步森,15.14,3.2,0.47,32650,4859.01 万,6.48,15.28,14.33,14.48,14.67,2.33,-288.67,75.57,昨日连板
8,603429,*ST集友,9.48,1.28,0.12,217549,2.09 亿,5.77,9.83,9.29,9.75,9.36,4.15,-273.12,3.93,昨日连板
9,002263,大东南,4.1,0.74,0.03,5346271,22.31 亿,9.09,4.37,4.0,4.17,4.07,28.46,478.99,2.78,昨日连板
10,002199,*ST东晶,8.52,0.71,0.06,69760,5992.00 万,6.5,8.85,8.3,8.63,8.46,2.87,-39.75,10.88,昨日连板
11,603026,石大胜华,93.06,-0.84,-0.79,269634,25.04 亿,6.22,95.96,90.12,94.79,93.85,11.59,1362.09,4.41,昨日连板
12,000767,晋控电力,4.58,-10.02,-0.51,2599443,12.40 亿,10.61,5.12,4.58,4.97,5.09,8.93,33.51,2.25,昨日连板
