序号,名称,代码,涨停统计,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,振幅,所属行业
1,骏鼎达,301538,0天0板,14.54440689086914,99.31,104.04,7.31 亿,31.00 亿,77.86 亿,23.248172760009766,0.0,092500,2,8.119954109191895,塑料
2,柘中股份,002346,2天1板,4.909180164337158,21.37,22.41,6.68 亿,83.79 亿,94.36 亿,7.834539413452148,0.09367681294679642,093130,1,6.971035957336426,电网设备
3,安德利,605198,2天1板,5.535680770874023,56.05,58.42,5.72 亿,151.64 亿,187.31 亿,3.725640296936035,0.035695165395736694,093351,1,6.081717014312744,农产品加
4,大连热电,600719,6天3板,1.9774010181427002,10.83,11.68,15.88 亿,43.82 亿,43.82 亿,35.19852828979492,-0.18433180451393127,093725,1,11.111111640930176,电力
5,北京文化,000802,0天0板,7.975460052490234,5.28,5.38,5.79 亿,37.78 亿,37.80 亿,15.322735786437988,-0.37735849618911743,093733,2,10.0204496383667,影视院线
6,春兰股份,600854,0天0板,2.1996614933013916,6.04,6.5,4.87 亿,31.38 亿,31.38 亿,15.259943008422852,0.16583748161792755,094711,1,10.998308181762695,房地产开
7,安孚科技,603031,0天0板,6.754530429840088,51.84,53.42,18.69 亿,162.98 亿,193.80 亿,11.359292984008789,0.038595136255025864,095132,3,11.696869850158691,电池
8,金圆股份,000546,0天0板,2.5710418224334717,7.58,8.13,9.47 亿,52.81 亿,58.95 亿,17.79322052001953,0.26455026865005493,100148,1,11.637348175048828,环境治理
9,博云新材,002297,0天0板,8.506224632263184,26.15,26.51,51.44 亿,149.87 亿,149.87 亿,34.96424102783203,0.0,102257,8,12.48962688446045,航空装备
10,中天精装,002989,0天0板,3.4799113273620605,32.71,34.77,6.36 亿,59.97 亿,65.95 亿,10.4376859664917,-0.030562348663806915,104454,2,12.27459716796875,装修装饰
11,四川双马,000935,0天0板,9.02352523803711,33.83,34.13,9.69 亿,258.27 亿,258.27 亿,3.820801019668579,0.05915409326553345,104615,1,13.051885604858398,多元金融
12,万泽股份,000534,0天0板,9.213000297546387,40.66,40.95,18.88 亿,203.67 亿,207.18 亿,9.435025215148926,-0.09828009456396103,105027,2,10.3411226272583,生物制品
13,宏昌电子,603002,0天0板,7.218542575836182,16.19,16.61,16.95 亿,183.61 亿,183.61 亿,9.369475364685059,0.12368584424257278,105807,1,13.24503231048584,电子化学
14,红蜻蜓,603116,0天0板,5.184174537658691,7.71,8.06,3.15 亿,44.43 亿,44.43 亿,7.075464725494385,0.0,112703,1,12.005456924438477,服装家纺
15,运机集团,001288,0天0板,7.086614608764648,29.92,30.73,3.57 亿,45.45 亿,70.28 亿,7.868175983428955,0.0,130300,2,10.486757278442383,专用设备
16,鸿博股份,002229,0天0板,7.011494159698486,18.62,19.14,20.36 亿,91.83 亿,92.39 亿,22.20738983154297,0.05373455211520195,130906,2,11.666666984558105,包装印刷
17,华胜天成,600410,0天0板,9.229390144348145,24.38,24.55,55.69 亿,267.33 亿,267.33 亿,21.312421798706055,0.04103405773639679,131222,2,9.408601760864258,IT服务Ⅱ
18,数据港,603881,0天0板,7.9045491218566895,43.41,44.25,50.07 亿,311.85 亿,311.85 亿,16.357227325439453,-0.04605111479759216,131400,1,10.812826156616211,通信服务
19,荣晟环保,603165,0天0板,8.85588550567627,19.79,20.0,4.46 亿,63.42 亿,63.42 亿,7.159239768981934,0.0,133242,2,11.386138916015625,造纸
20,铭普光磁,002902,0天0板,7.450242519378662,39.95,40.9,24.14 亿,70.96 亿,93.89 亿,34.596622467041016,0.4778671860694885,133627,1,11.88811206817627,通信设备
21,再升科技,603601,0天0板,7.113219261169434,18.07,18.56,45.27 亿,206.42 亿,206.42 亿,22.598575592041016,0.055370986461639404,134518,1,11.855364799499512,专业工程
22,千里科技,601777,0天0板,8.870967864990234,12.15,12.28,16.26 亿,549.31 亿,549.31 亿,3.0228381156921387,0.0,140128,1,10.394265174865723,摩托车及
23,新亚电缆,001382,0天0板,6.001846790313721,22.96,23.83,3.90 亿,14.46 亿,94.60 亿,27.488815307617188,0.043572984635829926,141221,1,11.218836784362793,电网设备
24,盈峰环境,000967,0天0板,8.808664321899414,15.07,15.24,56.88 亿,493.58 亿,493.81 亿,12.23381233215332,0.13289035856723785,144936,1,16.823104858398438,环保设备
