序号,名称,代码,连板数,涨停统计,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,所属行业
1,新能泰山,000720,3,3天3板,10.10988998413086,5.01,1.06 亿,62.95 亿,62.95 亿,1.684889793395996,237765221,092500,092500,0,电网设备
2,美诺华,603538,3,10天5板,10.006176948547363,35.62,10.14 亿,77.01 亿,78.52 亿,13.314013481140137,139466334,093342,094318,7,化学制药
3,湖南发展,000722,3,3天3板,9.98796558380127,18.28,20.21 亿,84.85 亿,84.85 亿,24.00480079650879,71769016,093018,105418,13,电力
4,融捷股份,002192,3,3天3板,10.006205558776855,70.91,28.40 亿,183.74 亿,184.12 亿,15.69447135925293,23520847,094833,141042,9,能源金属
5,渤海化学,600800,2,2天2板,9.91561222076416,5.21,3.08 亿,57.82 亿,57.83 亿,5.352577209472656,34701726,093105,093347,2,炼化及贸
6,再升科技,603601,2,2天2板,9.983633041381836,13.44,56.16 亿,153.53 亿,153.53 亿,36.985923767089844,192672574,093004,140225,5,专业工程
7,中闽能源,600163,2,2天2板,9.94694995880127,8.29,6.41 亿,157.76 亿,157.76 亿,4.065252780914307,170917383,092502,101238,1,电力
8,中国铁物,000927,2,2天2板,9.86842155456543,3.34,18.63 亿,202.08 亿,202.08 亿,9.302599906921387,7951538,093203,145336,12,轨交设备
9,铭普光磁,002902,2,6天3板,10.019268035888672,28.55,7.87 亿,50.71 亿,67.10 亿,15.657873153686523,163227487,093024,093103,1,通信设备
10,华电能源,600726,2,13天8板,10.081300735473633,6.77,37.60 亿,506.08 亿,535.33 亿,7.982478141784668,12801684,145559,145559,0,电力
11,中超控股,002471,1,首板,10.050251007080078,8.76,11.52 亿,117.61 亿,119.90 亿,9.796858787536621,330617537,092500,092500,0,电网设备
12,海森药业,001367,1,首板,9.986320495605469,24.12,1.59 亿,9.60 亿,36.75 亿,16.576536178588867,35083866,093012,093545,1,化学制药
13,新宝股份,002705,1,首板,9.977662086486816,14.77,7.43 亿,119.36 亿,119.91 亿,6.267712593078613,37214492,093003,144648,3,小家电
14,天保基建,000965,1,首板,10.0,4.18,3.19 亿,46.39 亿,46.39 亿,6.881990432739258,30367031,092500,101133,2,房地产开
15,金富科技,003018,1,首板,10.019493103027344,28.22,2.31 亿,27.65 亿,73.37 亿,8.490954399108887,75121640,093418,093418,0,包装印刷
16,衢州东峰,601515,1,首板,9.975062370300293,4.41,1.49 亿,84.87 亿,84.87 亿,1.782002568244934,20895462,093521,093521,0,包装印刷
17,丽岛新材,603937,1,3天2板,9.984639167785645,14.32,2.22 亿,29.91 亿,29.91 亿,7.603072643280029,28764584,093905,093905,0,工业金属
18,大东南,002263,1,首板,10.119048118591309,3.7,2.76 亿,69.50 亿,69.50 亿,4.036493301391602,77871310,094018,094018,0,塑料
19,远程股份,002692,1,首板,9.926470756530762,5.98,1.88 亿,42.92 亿,42.95 亿,4.464876651763916,101739534,093909,093909,0,电网设备
20,司太立,603520,1,首板,10.04273509979248,10.3,3.89 亿,45.16 亿,45.16 亿,8.763570785522461,23185300,094325,095855,1,化学制药
21,惠天热电,000692,1,首板,10.112359046936035,4.9,1.48 亿,26.11 亿,26.11 亿,5.859806537628174,55081037,094436,094436,0,电力
22,南京新百,600682,1,首板,9.968847274780273,7.06,2.21 亿,82.18 亿,94.97 亿,2.760193109512329,100472497,094511,094511,0,综合Ⅱ
23,晋控电力,000767,1,首板,9.97624683380127,4.63,9.62 亿,134.84 亿,142.46 亿,7.2174153327941895,160492560,093054,093524,2,电力
