序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300502,新易盛,457.0,-4.032,170.63 亿
2,sz300308,中际旭创,614.2,-2.26,164.91 亿
3,sz000988,华工科技,105.35,-8.977,148.14 亿
4,sz300394,天孚通信,325.0,2.169,132.69 亿
5,sz002475,立讯精密,50.19,-1.53,111.64 亿
6,sz300750,宁德时代,402.5,1.179,108.11 亿
7,sh601899,紫金矿业,32.09,-3.46,98.86 亿
8,sh688525,佰维存储,238.98,-5.672,97.13 亿
9,sz300274,阳光电源,166.0,-0.646,97.03 亿
10,sh603986,兆易创新,262.0,-5.891,92.18 亿
11,sz002594,比亚迪,103.14,-3.246,86.56 亿
12,sh601016,节能风电,5.31,-1.667,79.24 亿
13,sz300476,胜宏科技,268.89,0.92,78.11 亿
14,sz000547,航天发展,28.15,3.99,72.11 亿
15,sz002384,东山精密,104.3,-3.613,70.01 亿
16,sz300136,信维通信,64.29,2.996,68.96 亿
17,sz002463,沪电股份,79.01,-4.254,67.74 亿
18,sh600487,亨通光电,47.88,-0.602,67.47 亿
19,sh600549,厦门钨业,57.51,-1.456,62.61 亿
20,sz001309,德明利,378.86,0.984,61.57 亿
