序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,1194.9,5.898,416.09亿
2,sh603986,兆易创新,663.49,10.0,381.85亿
3,sz000725,京东方Ａ,8.15,6.815,301.17亿
4,sz002384,东山精密,261.32,10.002,277.86亿
5,sz300502,新易盛,545.5,6.785,261.01亿
6,sh688256,寒武纪,1535.01,8.593,245.79亿
7,sh688981,中芯国际,173.0,13.741,236.46亿
8,sh688008,澜起科技,285.8,15.638,219.58亿
9,sz000063,中兴通讯,40.33,9.384,209.84亿
10,sh600584,长电科技,103.52,9.999,204.97亿
11,sh600487,亨通光电,80.06,4.028,185.87亿
12,sz000977,浪潮信息,85.99,10.004,185.34亿
13,sh688525,佰维存储,418.88,5.719,156.07亿
14,sh600522,中天科技,47.14,5.082,154.65亿
15,sh688012,中微公司,471.59,11.487,151.79亿
16,sh688041,海光信息,363.46,5.965,150.18亿
17,sz000938,紫光股份,35.68,6.127,149.96亿
18,sz300394,天孚通信,271.5,10.51,144.67亿
19,sh600176,中国巨石,58.7,4.709,141.78亿
20,sz300750,宁德时代,375.5,4.017,139.06亿
