序号,名称,代码,涨停统计,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,振幅,所属行业
1,柏诚股份,601133,0天0板,3.463329315185547,35.55,37.8,14.80亿,186.42亿,187.07亿,7.900946617126465,0.0,093056,1,11.932479858398438,专业工程
2,三佳科技,600520,0天0板,9.38940143585205,37.98,38.19,10.28亿,60.17亿,60.17亿,17.274581909179688,0.0,093116,4,8.006912231445312,半导体
3,海星股份,603115,0天0板,4.571428298950195,100.65,105.88,9.22亿,243.46亿,243.46亿,3.8058972358703613,0.0,093533,1,11.293506622314453,元件
4,艾华集团,603989,0天0板,4.0621867179870605,41.5,43.87,10.19亿,165.49亿,165.49亿,6.168057441711426,0.0,093549,1,12.161484718322754,元件
5,鑫磊股份,301317,0天0板,10.685405731201172,57.49,62.33,6.24亿,30.01亿,90.37亿,20.347259521484375,0.0,094142,1,17.250673294067383,通用设备
6,山东玻纤,605006,0天0板,9.431605339050293,17.52,17.61,11.61亿,114.51亿,114.51亿,10.380109786987305,0.0,094206,1,8.682073593139648,玻璃玻纤
7,丰林集团,601996,0天0板,4.587155818939209,2.28,2.4,1.72亿,25.56亿,25.56亿,6.5928850173950195,0.0,094350,1,11.467889785766602,家居用品
8,海欣股份,600851,0天0板,5.193236827850342,8.71,9.11,3.01亿,64.30亿,105.13亿,4.647780418395996,0.0,095524,1,10.8695650100708,化学制药
9,福石控股,300071,0天0板,13.498621940612793,4.12,4.36,8.93亿,38.95亿,39.71亿,22.720897674560547,0.0,095636,1,22.865013122558594,广告营销
10,深中华A,000017,0天0板,8.085808753967285,6.55,6.67,2.55亿,28.87亿,45.14亿,9.04527759552002,0.0,100212,1,12.376237869262695,饰品
11,大晟文化,600892,0天0板,6.153846263885498,3.45,3.58,9692.60万,19.30亿,19.30亿,4.971308708190918,0.0,100957,2,11.692307472229004,游戏Ⅱ
12,深桑达Ａ,000032,0天0板,6.558935165405273,22.42,23.14,20.57亿,255.13亿,272.44亿,8.05112361907959,0.0,101357,1,7.794676780700684,专业工程
13,通源石油,300164,0天0板,12.915128707885742,9.18,9.76,24.07亿,53.54亿,54.02亿,45.03135299682617,0.0,110336,3,15.375153541564941,油服工程
14,欧菲光,002456,0天0板,8.314351081848145,9.51,9.66,25.06亿,315.51亿,332.46亿,8.056098937988281,0.0,131430,1,9.908884048461914,光学光电
15,名家汇,300506,0天0板,14.056939125061035,6.41,6.74,4.17亿,47.09亿,91.38亿,9.125449180603027,0.0,134739,2,21.17437744140625,装修装饰
16,江化微,603078,0天0板,6.381647109985352,51.01,52.75,26.17亿,196.71亿,196.71亿,13.553558349609375,0.0,141420,1,12.930135726928711,电子化学
17,平安电工,001359,0天0板,5.8889617919921875,113.1,117.49,5.72亿,68.19亿,272.75亿,8.49906063079834,0.0,144524,2,11.3847017288208,塑料
