序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,1149.0,2.224,400.03 亿
2,sz300502,新易盛,506.46,-3.715,337.34 亿
3,sh600487,亨通光电,97.0,-5.273,215.31 亿
4,sh603986,兆易创新,481.47,-0.42,202.02 亿
5,sh688525,佰维存储,327.9,1.119,186.06 亿
6,sh688256,寒武纪,1240.0,1.681,183.76 亿
7,sz002384,东山精密,217.55,3.109,174.65 亿
8,sz000725,京东方Ａ,5.57,-4.46,167.41 亿
9,sh600522,中天科技,48.6,-1.36,165.33 亿
10,sz300750,宁德时代,394.85,3.31,162.79 亿
11,sh600183,生益科技,151.28,1.035,149.74 亿
12,sh688008,澜起科技,224.88,-1.67,148.92 亿
13,sh601899,紫金矿业,29.09,6.44,147.18 亿
14,sh688041,海光信息,280.0,-3.395,143.28 亿
15,sh688498,源杰科技,1400.01,-3.581,142.59 亿
16,sz300666,江丰电子,274.08,-6.265,141.48 亿
17,sh600498,烽火通信,63.13,3.509,138.68 亿
18,sz300394,天孚通信,280.95,-4.439,138.58 亿
19,sh600584,长电科技,68.92,-4.211,133.59 亿
20,sz000636,风华高科,59.12,-8.056,131.13 亿
