序号,名称,代码,连板数,涨停统计,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,所属行业
1,宿迁联盛,603065,4,8天5板,10.032362937927246,13.6,1.34 亿,56.98 亿,56.98 亿,2.3542890548706055,244620371,092501,092501,0,化学制品
2,和远气体,002971,4,7天5板,10.009478569030762,58.03,33.25 亿,90.76 亿,122.88 亿,36.936431884765625,4537946,093109,145133,57,化学制品
3,海亮股份,002203,2,2天2板,9.995306968688965,23.44,23.99 亿,518.53 亿,537.19 亿,4.634958267211914,244185403,093003,094321,3,工业金属
4,盛龙股份,001257,2,2天2板,9.992070198059082,27.74,3.97 亿,37.99 亿,509.29 亿,10.442317008972168,286730543,093000,093000,0,小金属
5,金钼股份,601958,2,2天2板,10.0,25.52,4.16 亿,823.43 亿,823.43 亿,0.5052089691162109,855542841,092502,092502,0,小金属
6,威高血净,603014,2,2天2板,9.996988296508789,36.53,3.24 亿,37.07 亿,152.61 亿,8.90323257446289,20639450,103512,105551,3,医疗器械
7,新金路,000510,2,2天2板,9.9943208694458,19.37,13.81 亿,117.50 亿,125.62 亿,11.987964630126953,17901754,103215,142733,1,化学原料
8,冠城新材,600067,2,2天2板,10.126582145690918,3.48,3.81 亿,48.43 亿,48.43 亿,8.142885208129883,18758010,102256,102256,0,电网设备
9,宗申动力,001696,2,5天4板,10.019268035888672,22.84,21.06 亿,203.60 亿,261.52 亿,10.508495330810547,164595934,095333,095521,1,通用设备
10,深桑达Ａ,000032,2,2天2板,10.0,18.92,19.23 亿,215.30 亿,229.91 亿,9.275867462158203,3416952,131757,150000,29,专业工程
11,泰永长征,002927,1,首板,9.978190422058105,20.17,1.04 亿,44.52 亿,45.02 亿,2.3598642349243164,53987586,093139,093139,0,电网设备
12,青龙管业,002457,1,首板,10.02548885345459,12.95,6.45 亿,43.16 亿,43.19 亿,15.132946014404297,39351165,093206,131557,5,装修建材
13,蓝箭电子,301348,1,首板,19.984012603759766,30.02,5.99 亿,46.57 亿,72.05 亿,13.08072566986084,161531135,093157,093157,0,半导体
14,冀衡医药,002742,1,首板,10.026385307312012,4.17,1850.16 万,21.85 亿,28.53 亿,0.8656193017959595,47269869,093224,093224,0,化学制药
15,名雕股份,002830,1,3天2板,9.973752975463867,16.76,1.02 亿,15.56 亿,31.16 亿,6.693111896514893,89170574,093539,093539,0,装修装饰
16,雄韬股份,002733,1,首板,10.003186225891113,34.53,6.13 亿,127.37 亿,132.67 亿,4.8968939781188965,142474716,093612,094124,1,电池
17,航天发展,000547,1,首板,10.015983581542969,20.65,18.80 亿,328.15 亿,330.08 亿,5.806489944458008,209392672,093712,093903,1,军工电子
18,安德利,605198,1,首板,9.998302459716797,64.8,2.41 亿,175.31 亿,216.55 亿,1.3896490335464478,46571760,093739,093739,0,农产品加
19,天奥电子,002935,1,首板,10.009910583496094,22.2,2.50 亿,92.15 亿,94.15 亿,2.7546608448028564,41119705,093951,093951,0,军工电子
20,驰宏锌锗,600497,1,首板,9.952607154846191,9.28,12.70 亿,467.75 亿,467.75 亿,2.748798370361328,100521368,094046,094243,1,工业金属
21,瑞玛精密,002976,1,4天2板,10.003345489501953,32.88,1.34 亿,21.92 亿,49.22 亿,6.171179294586182,54271728,093209,093436,1,汽车零部
22,中航西飞,000768,1,首板,10.009624481201172,22.86,6.37 亿,634.69 亿,635.65 亿,1.0034222602844238,330277028,092500,092500,0,航空装备
23,迪生力,603335,1,4天2板,9.972677230834961,8.05,4370.47 万,34.47 亿,34.47 亿,1.268066644668579,157983995,092502,092502,0,汽车零部
24,安泰科技,000969,1,首板,9.982014656066895,24.46,9.33 亿,254.71 亿,256.96 亿,3.691924810409546,230791302,093109,093436,1,金属新材
25,泰晶科技,603738,1,首板,9.991497039794922,51.74,8.88 亿,199.66 亿,199.66 亿,4.49434232711792,452258253,093110,093110,0,元件
26,鲁阳节能,002088,1,首板,9.950860023498535,8.95,4943.12 万,45.26 亿,45.92 亿,1.1170891523361206,21186395,094703,094703,0,装修建材
27,晨曦航空,300581,1,首板,19.963537216186523,13.16,5.56 亿,72.39 亿,72.39 亿,7.934534072875977,34810753,094357,094357,0,航空装备
28,航发科技,600391,1,首板,9.990574836730957,35.01,4.71 亿,115.58 亿,115.58 亿,4.13449764251709,68014767,094349,094349,0,航空装备
29,中天火箭,003009,1,6天3板,9.998185157775879,60.62,3.42 亿,99.83 亿,99.85 亿,3.5150463581085205,67778191,094336,094336,0,航天装备
30,立霸股份,603519,1,首板,10.0,13.64,2.70 亿,36.33 亿,36.33 亿,7.503763675689697,1274903,094119,145513,16,家电零部
31,中航高科,600862,1,首板,10.029153823852539,18.87,6.20 亿,262.87 亿,262.87 亿,2.394869565963745,79856443,095513,095513,0,航空装备
32,祥源文旅,600576,1,首板,9.964412689208984,6.18,2.66 亿,40.81 亿,65.17 亿,6.5853190422058105,3303210,095238,144008,14,旅游及景
33,平安电工,001359,1,首板,10.0,107.14,6.08 亿,49.69 亿,198.75 亿,12.381510734558105,8378348,094739,144954,17,塑料
34,金牌家居,603180,1,首板,10.006293296813965,17.48,7932.60 万,26.96 亿,26.96 亿,3.0112104415893555,594320,100311,150000,4,家居用品
35,嘉美包装,002969,1,首板,10.0,16.39,9.49 亿,179.10 亿,180.04 亿,5.442281246185303,70491439,100409,101215,3,包装印刷
36,国投中鲁,600962,1,首板,9.987410545349121,26.21,1.48 亿,68.73 亿,68.73 亿,2.209597587585449,35155473,100549,101049,1,农产品加
37,肯特催化,603120,1,首板,10.003803253173828,57.84,5.72 亿,21.92 亿,52.29 亿,26.592100143432617,5800137,100607,142104,22,化学制品
38,博纳影业,001330,1,首板,9.953344345092773,7.07,9.36 亿,82.21 亿,97.18 亿,11.745849609375,96494887,100757,130945,2,影视院线
39,麦迪科技,603990,1,首板,9.980039596557617,22.04,3.60 亿,67.50 亿,67.50 亿,5.456412315368652,47679154,101007,101007,0,软件开发
40,中信海直,000099,1,首板,9.981048583984375,17.41,4.17 亿,135.06 亿,135.06 亿,3.151581048965454,76563765,095236,095518,1,航空机场
41,必得科技,605298,1,首板,10.005558013916016,59.37,1.59 亿,110.58 亿,111.53 亿,1.4573441743850708,25568996,095134,095134,0,轨交设备
42,城市传媒,600229,1,3天2板,9.946714401245117,6.19,2.00 亿,40.90 亿,40.90 亿,5.156761646270752,28346479,101201,101201,0,出版
43,成飞集成,002190,1,首板,9.995936393737793,27.07,2.79 亿,97.11 亿,97.11 亿,2.9345383644104004,78745303,101121,101121,0,汽车零部
44,华明装备,002270,1,首板,10.0,20.13,3.59 亿,180.41 亿,180.41 亿,2.052360773086548,190015786,101515,101515,0,电网设备
45,金禾实业,002597,1,首板,9.990108489990234,22.24,4.48 亿,126.16 亿,126.39 亿,3.6113665103912354,6915505,101215,142412,21,化学制品
46,交投生态,002200,1,首板,10.016155242919922,6.81,3296.58 万,13.33 亿,30.72 亿,2.5598692893981934,11965163,101551,101551,0,基础建设
47,中成股份,000151,1,首板,10.023677825927734,13.94,1.63 亿,42.93 亿,48.92 亿,3.926220178604126,89473276,101657,101657,0,贸易Ⅱ
48,美能能源,001299,1,首板,9.980430603027344,11.24,1.01 亿,31.80 亿,35.32 亿,3.285640001296997,69424141,102148,102148,0,燃气Ⅱ
49,金田股份,601609,1,首板,9.991235733032227,12.55,14.54 亿,216.94 亿,216.94 亿,6.8369364738464355,36125915,101315,140045,3,工业金属
50,逸豪新材,301176,1,首板,19.991519927978516,56.6,8.14 亿,92.85 亿,95.69 亿,9.37466049194336,6622200,102342,145018,6,元件
51,狮头股份,600539,1,首板,10.033670425415039,16.34,2.74 亿,37.58 亿,37.58 亿,7.464652061462402,65458040,102634,103734,1,互联网电
52,中色股份,000758,1,首板,9.952607154846191,6.96,4.98 亿,138.00 亿,138.53 亿,3.701489210128784,62141476,102721,102721,0,工业金属
53,锌业股份,000751,1,首板,9.935205459594727,5.09,4.15 亿,71.76 亿,82.24 亿,5.931110858917236,16237609,102648,102648,0,工业金属
54,新凤鸣,603225,1,首板,9.983633041381836,20.16,5.38 亿,336.38 亿,338.18 亿,1.6433690786361694,57965987,102929,104053,2,化学纤维
55,潮宏基,002345,1,首板,10.033822059631348,9.76,3.24 亿,84.64 亿,86.72 亿,3.9086077213287354,46417584,103000,103000,0,饰品
56,北摩高科,002985,1,首板,10.014673233032227,29.99,1.91 亿,99.25 亿,99.52 亿,1.970291256904602,129511964,095739,095739,0,航空装备
57,万丰奥威,002085,1,首板,10.040485382080078,13.59,10.82 亿,288.56 亿,288.56 亿,3.8393192291259766,67166672,095830,100118,1,汽车零部
58,铜陵有色,000630,1,首板,10.077519416809082,7.1,43.56 亿,791.15 亿,952.07 亿,5.644613742828369,169058149,103357,103357,0,工业金属
59,诺 普 信,002215,1,首板,9.988518714904785,9.58,2.95 亿,77.43 亿,96.24 亿,3.9024295806884766,8250296,103200,104436,2,农化制品
60,洛阳钼业,603993,1,首板,10.017271041870117,19.11,85.10 亿,3336.77 亿,4088.45 亿,2.6076862812042236,139971080,104107,133652,2,工业金属
61,福光股份,688010,1,首板,19.989967346191406,47.84,10.78 亿,76.81 亿,76.81 亿,14.787660598754883,20487910,103439,140900,19,光学光电
62,豫光金铅,600531,1,首板,10.0,13.09,9.74 亿,158.29 亿,158.29 亿,6.280559062957764,20373184,104250,104250,0,工业金属
63,新莱福,301323,1,首板,20.00462532043457,103.78,7.09 亿,70.12 亿,109.58 亿,10.58305835723877,22219298,104309,144924,2,金属新材
64,多伦科技,603528,1,首板,10.030863761901855,7.13,1.97 亿,50.33 亿,50.33 亿,4.0355730056762695,29372862,104653,110053,3,软件开发
65,山鹰国际,600567,1,首板,9.923664093017578,1.44,5.86 亿,90.83 亿,90.83 亿,6.603680610656738,2496960,104211,144638,9,造纸
66,招金黄金,000506,1,首板,10.01602554321289,13.73,5.07 亿,127.51 亿,127.55 亿,4.111675262451172,61800212,104809,104809,0,贵金属
67,桐昆股份,601233,1,首板,10.014800071716309,22.3,11.91 亿,529.55 亿,530.52 亿,2.317445993423462,5054964,104909,104957,1,炼化及贸
68,中银证券,601696,1,首板,10.009532928466797,11.54,10.80 亿,320.58 亿,320.58 亿,3.4544968605041504,85348674,104959,110502,3,证券Ⅱ
69,株冶集团,600961,1,首板,10.0,25.41,11.57 亿,191.04 亿,272.62 亿,6.258147239685059,91171080,105147,105147,0,工业金属
70,赢时胜,300377,1,首板,20.0,14.88,12.14 亿,102.81 亿,111.75 亿,12.425494194030762,34789440,105212,143654,2,软件开发
71,德冠新材,001378,1,首板,9.994711875915527,20.8,1.15 亿,17.54 亿,36.05 亿,6.760003089904785,30189411,105800,105800,0,塑料
72,新威凌,920634,1,首板,29.94791603088379,19.96,1.35 亿,8.09 亿,12.76 亿,17.492856979370117,3930662,110108,145205,5,工业金属
73,北方铜业,000737,1,首板,10.0,14.08,14.76 亿,268.16 亿,268.18 亿,5.645251274108887,29718177,104751,133857,1,工业金属
74,南矿集团,001360,1,首板,9.97652530670166,18.74,9988.82 万,23.52 亿,38.23 亿,4.378788948059082,9862862,110627,110627,0,专用设备
75,瑞鹄模具,002997,1,首板,9.996255874633789,29.38,1.94 亿,61.50 亿,61.50 亿,3.254040241241455,109878262,112254,112254,0,汽车零部
76,电投水电,600292,1,首板,10.00758171081543,14.51,4.52 亿,63.74 亿,635.57 亿,7.3212456703186035,18844615,130046,133328,1,环境治理
77,爱普股份,603020,1,6天3板,10.042194366455078,13.04,3.04 亿,48.98 亿,48.98 亿,6.348357677459717,3808984,112431,135704,4,化学制品
78,交建股份,603815,1,首板,9.963768005371094,6.07,1.19 亿,37.57 亿,37.57 亿,3.2680575847625732,4587099,130115,133018,6,基础建设
79,金龙羽,002882,1,首板,10.015097618103027,21.86,1.85 亿,53.95 亿,94.63 亿,3.5292608737945557,48024234,130551,131509,1,电网设备
80,依依股份,001206,1,首板,10.025543212890625,17.23,9054.07 万,18.41 亿,31.86 亿,5.100521087646484,37656096,130730,130730,0,个护用品
81,财达证券,600906,1,首板,10.078740119934082,6.99,11.12 亿,148.48 亿,226.83 亿,7.699853897094727,2872163,130047,144505,22,证券Ⅱ
82,恩捷股份,002812,1,首板,10.0,67.54,31.03 亿,555.62 亿,663.33 亿,5.773773670196533,14223383,131215,132618,4,电池
83,方正科技,600601,1,首板,9.982934951782227,12.89,46.52 亿,537.55 亿,550.89 亿,8.875965118408203,74754085,131652,140555,9,元件
84,中百集团,000759,1,6天3板,10.0,5.83,5.22 亿,38.23 亿,38.62 亿,14.625944137573242,79947373,131927,131927,0,一般零售
85,赞宇科技,002637,1,首板,9.973980903625488,12.68,3.42 亿,58.96 亿,59.65 亿,6.047146797180176,67238236,132427,132427,0,化学制品
86,如通股份,603036,1,首板,9.969788551330566,14.56,2.07 亿,29.99 亿,29.99 亿,7.19752311706543,16694044,133013,133013,0,专用设备
87,宁波中百,600857,1,首板,10.028247833251953,15.58,2.70 亿,34.95 亿,34.95 亿,8.001639366149902,1533072,133858,145249,3,一般零售
88,海安集团,001233,1,首板,10.0,51.37,1.68 亿,19.37 亿,95.53 亿,9.043861389160156,35679187,141503,142003,2,汽车零部
89,赛伦生物,688163,1,首板,20.010658264160156,45.04,2.32 亿,48.74 亿,48.74 亿,5.108870983123779,33864675,143249,145543,1,生物制品
