序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业
1,603211,晋拓股份,-10.003022193908691,29.78,5.17 亿,80.94 亿,80.94 亿,178.62484741210938,6.213393211364746,351404,143430,33121316,1,6,汽车零部
2,603657,春光科技,-10.00784969329834,22.93,1.72 亿,31.00 亿,31.00 亿,-21.886484146118164,5.466230869293213,376052,150000,39719346,1,55,家电零部
3,000833,粤桂股份,-10.007495880126953,24.01,21.58 亿,108.93 亿,192.58 亿,22.322547912597656,19.51934051513672,1625477,150000,2412290627,1,4,综合Ⅱ
4,603103,横店影视,-9.995217323303223,18.82,4.64 亿,119.36 亿,119.36 亿,74.37028503417969,3.8449251651763916,5552314,143705,1214526380,2,4,影视院线
5,002669,康达新材,-9.988385200500488,15.5,10.38 亿,46.92 亿,47.03 亿,171.27166748046875,21.47440528869629,5861945,141524,79768563,2,2,化学制品
6,603155,新亚强,-9.99203872680664,22.61,7.29 亿,71.40 亿,71.40 亿,52.5659065246582,9.856354713439941,10610285,132429,107796603,1,11,化学制品
7,603931,格林达,-9.99832820892334,53.83,8.94 亿,107.42 亿,107.42 亿,91.60611724853516,7.796533107757568,22949882,141302,30080204,1,0,电子化学
8,603938,三孚股份,-10.005087852478027,53.07,22.37 亿,203.06 亿,203.06 亿,130.66497802734375,10.685235977172852,53661412,142537,305626251,1,7,化学原料
9,603078,江化微,-10.008627891540527,41.72,22.94 亿,160.89 亿,160.89 亿,139.773681640625,13.539874076843262,57832597,135411,101692499,1,1,电子化学
10,600536,中国软件,-9.990944862365723,29.82,11.96 亿,251.58 亿,278.46 亿,-94.4347152709961,4.484857082366943,84483668,144124,140410778,1,2,IT服务Ⅱ
11,002962,五方光电,-9.989593505859375,17.3,3.27 亿,36.19 亿,50.46 亿,312.152587890625,8.846551895141602,92096273,093609,618703360,2,0,光学光电
12,002421,达实智能,-10.0204496383667,4.4,29.45 亿,88.15 亿,93.31 亿,-143.79458618164062,33.161155700683594,102544552,135800,2260800688,2,10,IT服务Ⅱ
13,600791,京能置业,-10.007412910461426,12.14,1.16 亿,54.91 亿,54.98 亿,-18.471025466918945,2.1134889125823975,116016395,093213,480320314,1,1,房地产开
14,600403,大有能源,-9.937888145446777,7.25,6.83 亿,173.33 亿,173.33 亿,-11.73679256439209,3.9373185634613037,140067245,131800,3048102311,1,6,煤炭开采
15,600378,XD昊华科,-10.0,57.15,67.24 亿,612.97 亿,737.23 亿,59.83673858642578,10.542798042297363,327287877,110258,890830022,1,7,化学制品
