序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,1030.0,-1.435,275.28 亿
2,sz002384,东山精密,222.08,5.127,233.46 亿
3,sh688256,寒武纪,1319.2,8.399,232.14 亿
4,sz000988,华工科技,158.4,7.477,218.06 亿
5,sh603986,兆易创新,404.56,1.14,218.05 亿
6,sz300394,天孚通信,363.0,-5.702,196.08 亿
7,sz300502,新易盛,572.5,-4.571,193.98 亿
8,sz002281,光迅科技,230.89,10.0,180.13 亿
9,sh688008,澜起科技,247.11,-0.355,166.41 亿
10,sz300274,阳光电源,157.38,3.369,159.67 亿
11,sh688525,佰维存储,313.43,-5.337,138.32 亿
12,sh688012,中微公司,479.51,9.29,137.94 亿
13,sh600522,中天科技,44.55,1.365,137.91 亿
14,sh600487,亨通光电,75.47,5.111,137.91 亿
15,sh600584,长电科技,60.81,4.252,136.64 亿
16,sh688041,海光信息,312.02,2.763,129.90 亿
17,sh601138,工业富联,68.56,-0.609,129.77 亿
18,sz300476,胜宏科技,336.98,-2.663,125.45 亿
19,sz301308,江波龙,562.43,-5.03,115.32 亿
20,sh688521,芯原股份,299.91,15.572,113.10 亿
