序号,名称,代码,涨停统计,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,振幅,所属行业
1,紫光股份,000938,0天0板,6.797966957092285,33.62,34.63,164.15亿,961.56亿,961.56亿,16.778764724731445,0.0,093000,2,4.161372184753418,IT服务Ⅱ
2,熙菱信息,300588,0天0板,17.191062927246094,25.7,26.32,5.91亿,45.44亿,49.21亿,13.31130313873291,0.0,093512,1,13.360692977905273,计算机设
3,双鹭药业,002038,0天0板,8.747855186462402,6.34,6.41,5.60亿,54.01亿,65.13亿,10.474714279174805,0.0,094306,2,10.291595458984375,化学制药
4,津药药业,600488,0天0板,10.020039558410645,5.49,5.49,9.95亿,59.94亿,59.94亿,16.956655502319336,0.0,095257,6,13.627254486083984,化学制药
5,北投科技,600936,0天0板,4.3280181884765625,4.58,4.83,4.51亿,76.53亿,76.53亿,5.8361358642578125,0.0,095712,2,10.478360176086426,IT服务Ⅱ
6,晋控煤业,601001,0天0板,6.5536723136901855,18.86,19.47,6.80亿,315.66亿,315.66亿,2.1529433727264404,0.0,095902,1,10.508474349975586,煤炭开采
7,恒宝股份,002104,0天0板,6.537283420562744,10.43,10.77,9.10亿,62.55亿,73.88亿,14.45450496673584,0.0,110621,2,10.929519653320312,通信设备
8,灿芯股份,688691,0天0板,15.868659019470215,113.98,118.04,29.68亿,83.17亿,136.78亿,35.80988311767578,0.0,112028,2,14.95374584197998,半导体
9,瑞芯微,603893,0天0板,5.919983386993408,202.0,209.78,89.34亿,854.24亿,854.35亿,10.28505802154541,0.0,112557,3,6.643594741821289,半导体
10,实益达,002137,2天1板,2.5371828079223633,11.72,12.57,20.55亿,46.46亿,67.68亿,43.32145309448242,0.0,133142,2,9.27384090423584,光学光电
11,地铁设计,003013,0天0板,8.056536674499512,15.29,15.57,1.95亿,61.54亿,70.45亿,3.2291488647460938,0.0,134633,1,11.166077613830566,工程咨询
12,芯朋微,688508,0天0板,16.801620483398438,98.09,100.78,19.15亿,129.89亿,129.89亿,15.39964485168457,0.0,135142,2,24.636817932128906,半导体
13,宿迁联盛,603065,2天1板,8.197530746459961,21.91,22.28,15.83亿,91.80亿,91.80亿,17.88216781616211,0.0,144716,3,13.827159881591797,化学制品
14,圣龙股份,603178,4天2板,9.113149642944336,17.84,17.99,6.72亿,42.18亿,42.18亿,16.815736770629883,0.0,145440,1,15.045870780944824,汽车零部
