序号,股票代码,股票名称,收盘价,对应值,成交量,成交额,指标
1,000403,派林生物,9.73,-20.11,7791.1731,82327.7412,连续三个交易日内，跌幅偏离值累计达20%的证券
2,002568,百润股份,15.46,-23.66,8064.0781,135735.0007,连续三个交易日内，跌幅偏离值累计达20%的证券
3,603070,万控智造,14.71,-20.29,2516.0678,39014.17,连续三个交易日内，跌幅偏离值累计达20%的证券
4,603212,赛伍技术,13.03,-20.51,10917.8549,158588.16,连续三个交易日内，跌幅偏离值累计达20%的证券
5,000887,中鼎股份,19.88,-10.67,10875.2635,219322.1049,跌幅偏离值达7%的证券
6,001382,新亚电缆,18.33,-10.41,819.3367,15147.7094,跌幅偏离值达7%的证券
7,002779,中坚科技,74.81,-11.16,654.2869,51424.213,跌幅偏离值达7%的证券
8,002980,华盛昌,118.23,-11.69,1595.7227,194662.4424,跌幅偏离值达7%的证券
9,600421,退市华嵘,0.24,-12.89,1522.31,375.72,跌幅偏离值达7%的证券
10,603665,康隆达,25.97,-11.0,615.95,16384.98,跌幅偏离值达7%的证券
11,603730,岱美股份,11.71,-11.77,4302.78,51322.48,跌幅偏离值达7%的证券
12,605488,福莱新材,30.41,-11.75,1567.61,49034.35,跌幅偏离值达7%的证券
13,000657,中钨高新,108.33,8.3,8313.1912,888373.2612,涨幅偏离值达7%的证券
14,000776,广发证券,22.7,8.3,19484.5825,431962.0295,涨幅偏离值达7%的证券
15,000960,锡业股份,45.91,8.3,10516.5492,477411.8134,涨幅偏离值达7%的证券
16,002407,多氟多,42.66,8.3,19375.044,790567.1482,涨幅偏离值达7%的证券
17,002409,雅克科技,165.18,8.3,3472.962,552035.4166,涨幅偏离值达7%的证券
18,200012,南玻B,1.57,8.74,748.5983,996.5625,涨幅偏离值达7%的证券
19,600162,香江控股,3.94,8.28,25145.09,96383.75,涨幅偏离值达7%的证券
20,600400,红豆股份,2.96,8.26,16520.31,47677.49,涨幅偏离值达7%的证券
21,600470,六国化工,5.91,8.28,3812.22,21753.4,涨幅偏离值达7%的证券
22,601519,大智慧,9.42,8.27,9168.22,81816.07,涨幅偏离值达7%的证券
23,603012,创力集团,8.21,8.28,1536.13,12267.68,涨幅偏离值达7%的证券
24,000811,冰轮环境,44.19,30.12,8617.0627,359804.1266,连续三个交易日内，涨幅偏离值累计达20%的证券
25,002655,共达电声,46.87,23.08,10041.0452,425146.4521,连续三个交易日内，涨幅偏离值累计达20%的证券
26,002674,兴业科技,19.69,20.0,4384.3624,74489.3127,连续三个交易日内，涨幅偏离值累计达20%的证券
27,600769,祥龙电业,21.08,24.34,7885.37,154478.95,连续三个交易日内，涨幅偏离值累计达20%的证券
28,001257,盛龙股份,33.81,55.49,7598.5736,252025.865,换手率达20%的证券
29,002272,川润股份,22.61,24.1,10097.2187,226935.0794,换手率达20%的证券
30,002421,达实智能,4.21,28.42,57868.8569,239103.1204,换手率达20%的证券
31,002579,中京电子,21.14,38.37,22385.4866,465769.6843,换手率达20%的证券
32,002842,翔鹭钨业,52.49,28.43,7633.6726,387396.7081,换手率达20%的证券
33,600110,诺德股份,17.15,20.28,35188.5367,599043.54,换手率达20%的证券
34,603262,技源集团,30.44,21.3,852.1373,25200.49,换手率达20%的证券
35,603285,键邦股份,51.9,23.44,1460.5428,74619.19,换手率达20%的证券
36,603399,永杉锂业,21.23,22.38,11467.2782,229155.77,换手率达20%的证券
37,603459,红板科技,88.5,20.32,1606.6604,142062.52,换手率达20%的证券
38,920078,族兴新材,37.4,48.78,1009.8264,37216.2,换手率达20%的证券
39,920083,金戈新材,71.0,58.12,1167.6518,82149.85,换手率达20%的证券
40,920126,永大股份,15.38,29.32,1309.7334,20490.92,换手率达20%的证券
41,920161,龙辰科技,40.1,26.57,980.26,40378.95,换手率达20%的证券
42,920206,彩客科技,71.31,30.72,437.8744,32133.31,换手率达20%的证券
