序号,名称,代码,连板数,涨停统计,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,所属行业
1,旭光电子,600353,5,12天7板,9.99761962890625,46.21,3.23亿,382.99亿,382.99亿,0.8441947102546692,350762550,092502,092502,0,其他电子
2,江钨装备,600397,4,4天4板,10.0,22.22,5.57亿,219.97亿,219.97亿,2.5377190113067627,198729014,093007,093016,1,专用设备
3,艾华集团,603989,4,4天4板,10.0,45.65,14.75亿,182.04亿,182.04亿,8.229114532470703,12007502,093616,142031,31,元件
4,冰轮环境,000811,3,9天5板,10.007468223571777,44.19,30.80亿,432.35亿,438.58亿,7.401186943054199,96113250,130124,130124,0,通用设备
5,东方锆业,002167,2,2天2板,9.981401443481445,17.74,1.03亿,134.60亿,137.43亿,0.7662192583084106,933375819,092500,092500,0,小金属
6,博云新材,002297,2,2天2板,10.014103889465332,31.2,12.33亿,178.81亿,178.81亿,6.906818866729736,255979245,092500,093142,1,航空装备
7,世名科技,300522,2,2天2板,19.98958969116211,23.05,14.75亿,60.65亿,74.33亿,27.54471206665039,12654957,132536,141421,19,化学制品
8,翔鹭钨业,002842,2,2天2板,9.995809555053711,52.49,38.74亿,140.92亿,171.73亿,28.434797286987305,29446890,140121,142354,4,小金属
9,兴业科技,002674,2,2天2板,10.0,19.69,2600.27万,57.61亿,58.19亿,0.45138996839523315,451208104,092500,092500,0,纺织制造
10,爱迪特,301580,2,2天2板,19.993667602539062,75.8,7.41亿,76.41亿,113.09亿,9.701438903808594,111828952,092500,093427,2,医疗器械
11,共达电声,002655,2,2天2板,9.997653007507324,46.87,13.06亿,170.51亿,170.84亿,7.668942451477051,103573279,093000,093639,5,消费电子
12,天娱数科,002354,2,11天6板,9.961190223693848,8.5,24.27亿,138.18亿,140.64亿,17.75965690612793,114987243,093212,100230,11,广告营销
13,海欣股份,600851,2,2天2板,9.950248718261719,8.84,4.17亿,65.26亿,106.70亿,6.414567947387695,17269479,093115,111003,16,化学制药
14,祥龙电业,600769,2,2天2板,10.02087688446045,21.08,9.64亿,79.05亿,79.05亿,12.328588485717773,29394858,092504,140257,22,环境治理
