序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,1382.33,1.056,386.44亿
2,sh603986,兆易创新,689.7,9.65,347.00亿
3,sz300502,新易盛,579.97,-0.26,263.06亿
4,sz000725,京东方Ａ,6.93,5.802,254.27亿
5,sz002384,东山精密,270.55,-0.897,243.36亿
6,sz300750,宁德时代,408.98,4.452,239.26亿
7,sh601138,工业富联,78.88,1.025,233.18亿
8,sh688008,澜起科技,280.05,3.761,221.44亿
9,sz300059,东方财富,20.97,12.742,219.81亿
10,sh688256,寒武纪,1456.99,-3.348,218.82亿
11,sh600487,亨通光电,120.13,8.215,216.13亿
12,sh600584,长电科技,91.33,9.996,209.18亿
13,sz300394,天孚通信,326.12,-3.113,202.87亿
14,sz002281,光迅科技,276.08,3.711,184.98亿
15,sz300274,阳光电源,163.46,11.212,182.15亿
16,sz300476,胜宏科技,365.4,-0.976,179.77亿
17,sh600522,中天科技,59.63,5.447,177.63亿
18,sh600183,生益科技,184.5,0.343,174.22亿
19,sh688525,佰维存储,406.31,5.207,170.90亿
20,sz000988,华工科技,174.67,-1.622,158.98亿
