序号,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,成交额(亿元)
1,sh000001,上证指数,4163.0965,72.615,1.775,4090.4813,4093.9546,4164.4178,4070.1723,743699355.0,1704000421651,17040.00亿
2,sz399001,深证成指,16372.499,341.797,2.132,16030.702,16095.629,16374.02,15914.052,87637950567.0,2033191664823,20331.92亿
3,Total,沪深总成交额,,,,,,,,,3737192086474,37371.92亿
