序号,名称,代码,涨停统计,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,振幅,所属行业
1,威龙股份,603779,0天0板,-0.6297229528427124,7.89,8.73,5.02亿,26.20亿,26.20亿,18.18631362915039,0.0,093010,1,10.8312349319458,非白酒
2,中百集团,000759,0天0板,4.804804801940918,6.98,7.33,11.76亿,45.77亿,46.24亿,25.216121673583984,0.0,093209,2,9.45945930480957,一般零售
3,哈药股份,600664,6天5板,7.894736289978027,5.33,5.43,45.23亿,134.24亿,134.24亿,34.70486831665039,0.0,093544,2,15.1821870803833,化学制药
4,中央商场,600280,0天0板,7.352941513061523,2.92,2.99,3.94亿,32.95亿,32.95亿,12.169500350952148,0.0,093626,1,10.661764144897461,一般零售
5,一鸣食品,605179,0天0板,4.724409580230713,14.63,15.37,2.33亿,58.67亿,58.67亿,3.9639928340911865,0.0,093708,1,10.021474838256836,饮料乳品
6,立方控股,920130,0天0板,13.916349411010742,14.98,17.09,9328.97万,8.58亿,13.82亿,10.430013656616211,0.0,093907,2,29.353612899780273,IT服务Ⅱ
7,贤丰控股,002141,4天2板,2.1996614933013916,6.04,6.5,23.72亿,62.39亿,62.39亿,36.78890609741211,0.0,094227,5,11.167512893676758,元件
8,星网锐捷,002396,0天0板,5.050859451293945,29.95,31.36,59.94亿,226.85亿,227.79亿,26.431398391723633,0.0,095527,2,14.836899757385254,通信设备
9,水发燃气,603318,0天0板,5.6109724044799805,8.47,8.82,6.68亿,38.88亿,46.98亿,17.19148063659668,0.0,100617,1,10.099750518798828,燃气Ⅱ
10,肯特催化,603120,0天0板,6.40652322769165,54.81,56.66,5.06亿,20.77亿,49.55亿,24.3635311126709,0.0,100651,1,13.880799293518066,化学制品
