序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,979.46,-11.998,564.86亿
2,sz300502,新易盛,482.88,-11.006,374.86亿
3,sh603986,兆易创新,463.15,-10.0,321.22亿
4,sz002384,东山精密,241.92,-10.0,267.74亿
5,sh600584,长电科技,85.49,2.74,207.82亿
6,sh688256,寒武纪,1190.58,-6.929,202.08亿
7,sh688008,澜起科技,183.6,-13.039,188.80亿
8,sz300750,宁德时代,360.0,-1.693,188.47亿
9,sz000725,京东方Ａ,6.07,0.331,179.50亿
10,sh688981,中芯国际,139.88,-7.852,151.72亿
11,sz000938,紫光股份,35.13,-8.966,147.02亿
12,sz002156,通富微电,68.36,-9.993,140.40亿
13,sh688525,佰维存储,252.86,-15.784,135.73亿
14,sh688012,中微公司,350.69,-2.969,131.92亿
15,sz000063,中兴通讯,36.0,-10.0,128.71亿
16,sh600487,亨通光电,58.39,-9.961,125.75亿
17,sz000977,浪潮信息,77.4,-8.941,122.18亿
18,sz002463,沪电股份,127.8,-6.524,121.61亿
19,sz300394,天孚通信,211.37,-13.419,119.62亿
20,sh688347,华虹宏力,309.0,-5.75,114.50亿
