序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,1367.88,7.191,381.77亿
2,sh603986,兆易创新,629.0,7.331,370.16亿
3,sh601138,工业富联,78.08,7.489,330.63亿
4,sh688256,寒武纪,1507.46,14.202,321.53亿
5,sz000725,京东方Ａ,6.55,-1.504,266.54亿
6,sz300502,新易盛,581.48,4.23,247.40亿
7,sh600487,亨通光电,111.01,0.009,225.05亿
8,sh688008,澜起科技,269.9,2.819,217.98亿
9,sz002384,东山精密,273.0,6.259,213.11亿
10,sh600584,长电科技,83.03,1.553,195.48亿
11,sh688525,佰维存储,386.2,4.378,175.30亿
12,sh688041,海光信息,328.0,6.417,174.75亿
13,sh688981,中芯国际,140.7,4.454,172.89亿
14,sz300476,胜宏科技,369.0,2.018,165.82亿
15,sz300394,天孚通信,336.6,2.208,164.97亿
16,sh600522,中天科技,56.55,2.987,160.53亿
17,sz002475,立讯精密,69.93,3.877,158.55亿
18,sz300750,宁德时代,391.55,-1.867,153.27亿
19,sz300475,香农芯创,254.87,3.906,147.27亿
20,sh600183,生益科技,183.87,2.065,146.05亿
